aX,aY,aZ,gX,gY,gZ
-0.620,-0.893,-0.346,-3.707,19.212,25.153
-0.619,-0.896,-0.357,-7.248,19.412,26.344
-0.617,-0.899,-0.369,-11.297,19.344,27.231
-0.615,-0.904,-0.383,-15.168,19.032,27.785
-0.611,-0.912,-0.398,-18.494,18.499,28.184
-0.607,-0.919,-0.415,-21.397,17.633,28.515
-0.603,-0.926,-0.430,-23.993,16.269,28.820
-0.598,-0.931,-0.444,-26.552,14.319,29.150
-0.594,-0.935,-0.458,-29.059,11.636,29.496
-0.590,-0.938,-0.470,-31.490,7.810,29.822
-0.587,-0.942,-0.481,-33.803,2.996,30.090
-0.583,-0.945,-0.491,-35.977,-2.814,30.286
-0.578,-0.949,-0.500,-37.909,-9.427,30.443
-0.573,-0.952,-0.507,-39.695,-16.697,30.546
-0.567,-0.955,-0.512,-41.607,-25.087,30.547
-0.560,-0.959,-0.516,-43.986,-34.269,30.430
-0.553,-0.963,-0.518,-47.315,-44.254,30.214
-0.545,-0.967,-0.518,-51.402,-55.789,29.920
-0.538,-0.969,-0.516,-56.099,-68.554,29.442
-0.531,-0.971,-0.512,-61.032,-83.243,28.362
-0.523,-0.974,-0.506,-65.332,-100.242,26.717
-0.514,-0.977,-0.498,-69.331,-119.543,24.598
-0.503,-0.978,-0.494,-73.456,-137.859,22.154
-0.491,-0.980,-0.490,-78.033,-153.524,19.618
-0.479,-0.982,-0.487,-82.447,-166.778,16.847
-0.469,-0.983,-0.482,-86.244,-178.874,13.642
-0.458,-0.982,-0.474,-89.612,-190.521,10.012
-0.447,-0.978,-0.462,-92.805,-202.418,5.688
-0.435,-0.972,-0.444,-96.606,-214.699,0.826
-0.423,-0.964,-0.425,-101.160,-225.833,-4.681
-0.409,-0.954,-0.407,-106.260,-234.242,-11.590
-0.396,-0.940,-0.392,-111.563,-242.788,-18.649
-0.387,-0.933,-0.387,-116.944,-252.936,-25.956
-0.374,-0.921,-0.396,-121.138,-259.396,-36.219
-0.358,-0.907,-0.406,-124.531,-263.882,-46.687
-0.336,-0.903,-0.412,-125.673,-269.063,-57.252
-0.311,-0.908,-0.409,-124.687,-276.032,-66.905
-0.279,-0.918,-0.399,-122.128,-281.071,-74.709
-0.244,-0.931,-0.383,-118.959,-283.776,-79.086
-0.209,-0.945,-0.363,-113.419,-284.320,-81.399
-0.176,-0.959,-0.341,-104.860,-282.681,-82.461
-0.149,-0.969,-0.319,-94.165,-279.928,-81.655
-0.124,-0.974,-0.297,-83.590,-276.360,-80.282
-0.099,-0.973,-0.276,-74.762,-271.613,-78.888
-0.074,-0.967,-0.254,-68.221,-265.989,-78.504
-0.051,-0.958,-0.231,-64.063,-259.798,-77.331
-0.032,-0.952,-0.205,-61.141,-253.174,-76.199
-0.017,-0.946,-0.176,-59.068,-246.193,-75.640
-0.002,-0.939,-0.146,-57.721,-239.257,-75.773
0.009,-0.932,-0.117,-56.954,-232.934,-75.625
0.012,-0.930,-0.089,-56.919,-227.106,-75.003
0.020,-0.929,-0.063,-57.222,-221.127,-74.006
0.027,-0.930,-0.039,-57.568,-215.167,-72.783
0.032,-0.930,-0.017,-57.901,-209.355,-71.503
0.036,-0.931,0.002,-58.134,-203.672,-70.028
0.039,-0.933,0.019,-58.038,-198.213,-68.318
0.041,-0.936,0.034,-57.446,-192.976,-66.428
0.042,-0.939,0.048,-56.286,-187.950,-64.602
0.045,-0.940,0.060,-54.985,-183.144,-62.908
0.047,-0.938,0.073,-53.690,-178.542,-61.375
0.047,-0.936,0.085,-52.527,-174.159,-59.897
0.047,-0.935,0.097,-51.405,-169.961,-58.479
0.047,-0.936,0.108,-50.253,-166.016,-57.044
0.044,-0.937,0.119,-49.139,-162.102,-55.650
0.043,-0.941,0.128,-47.949,-156.922,-54.125
0.039,-0.946,0.138,-46.575,-151.339,-52.562
0.037,-0.951,0.146,-44.702,-144.878,-50.937
0.036,-0.956,0.153,-42.227,-137.073,-49.307
0.037,-0.962,0.159,-38.981,-127.466,-47.656
0.037,-0.968,0.163,-35.127,-117.924,-45.931
0.036,-0.972,0.167,-31.189,-108.075,-44.077
0.036,-0.976,0.170,-27.334,-98.998,-42.176
0.035,-0.979,0.174,-23.862,-91.384,-40.309
0.033,-0.982,0.178,-20.722,-85.132,-38.481
0.032,-0.985,0.183,-18.035,-80.184,-36.649
0.030,-0.988,0.189,-15.804,-75.836,-34.870
0.028,-0.989,0.195,-14.042,-71.639,-33.215
0.027,-0.991,0.201,-12.558,-67.418,-31.728
0.026,-0.991,0.206,-11.340,-62.924,-30.515
0.026,-0.991,0.211,-10.435,-58.104,-29.460
0.025,-0.991,0.216,-9.817,-53.115,-28.590
0.023,-0.990,0.219,-9.470,-48.158,-27.881
0.022,-0.990,0.222,-9.234,-43.329,-27.298
0.021,-0.991,0.224,-8.951,-38.506,-26.757
0.020,-0.992,0.225,-8.485,-33.569,-26.164
0.021,-0.995,0.225,-7.560,-28.515,-25.380
0.020,-0.998,0.226,-6.170,-23.532,-24.461
0.020,-1.001,0.227,-4.334,-18.930,-23.405
0.019,-1.003,0.228,-2.262,-14.562,-22.129
0.017,-1.004,0.230,-0.168,-10.740,-20.689
0.014,-1.003,0.231,1.777,-7.522,-18.755
0.012,-1.003,0.233,3.337,-4.619,-16.578
0.008,-1.002,0.234,4.593,-2.940,-14.874
0.005,-0.998,0.236,5.393,-0.599,-13.390
0.004,-0.995,0.237,5.921,2.085,-12.111
0.002,-0.992,0.237,6.266,4.856,-11.189
0.000,-0.990,0.237,6.537,7.792,-10.380
-0.002,-0.988,0.235,6.813,10.735,-9.624
-0.005,-0.986,0.233,7.107,13.115,-8.895
-0.009,-0.986,0.231,7.437,14.928,-8.256
-0.013,-0.984,0.229,7.815,16.523,-7.777
-0.017,-0.983,0.228,8.238,18.159,-7.534
-0.022,-0.982,0.227,8.645,19.957,-7.452
-0.027,-0.981,0.226,8.985,21.885,-7.480
-0.033,-0.980,0.225,9.263,23.962,-7.547
-0.039,-0.977,0.224,9.493,26.008,-7.595
-0.046,-0.975,0.223,9.681,28.002,-7.526
-0.052,-0.972,0.221,9.815,29.963,-7.371
-0.058,-0.969,0.219,9.920,31.999,-7.118
