aX,aY,aZ,gX,gY,gZ
0.965,-0.417,1.149,-20.415,51.268,-1.284
0.836,-0.419,1.238,-18.717,50.078,-1.226
0.803,-0.387,1.282,-18.619,46.764,0.160
0.774,-0.393,1.301,-21.297,41.166,-1.412
0.751,-0.412,1.293,-23.730,35.891,-1.790
0.726,-0.447,1.267,-24.309,31.411,0.556
0.714,-0.465,1.230,-23.925,28.122,4.473
0.702,-0.466,1.190,-23.537,25.392,8.027
0.679,-0.464,1.154,-23.848,22.493,10.225
0.651,-0.466,1.122,-24.799,19.638,10.992
0.627,-0.473,1.097,-25.637,17.398,11.098
0.609,-0.483,1.079,-25.908,15.684,10.953
0.592,-0.495,1.066,-25.671,14.212,10.858
0.575,-0.505,1.055,-25.218,12.932,10.979
0.560,-0.513,1.042,-24.628,11.957,11.233
0.543,-0.521,1.028,-23.954,11.255,11.444
0.526,-0.529,1.012,-23.243,10.770,11.543
0.509,-0.538,0.998,-22.567,10.510,11.444
0.493,-0.545,0.984,-22.172,10.467,11.216
0.477,-0.552,0.971,-22.137,10.629,10.910
0.462,-0.560,0.958,-22.504,10.924,10.516
0.448,-0.566,0.946,-23.313,11.269,9.988
0.434,-0.573,0.932,-24.495,11.676,9.343
0.421,-0.580,0.919,-25.713,12.119,8.657
0.409,-0.588,0.906,-26.574,12.560,7.973
0.398,-0.597,0.894,-27.066,12.946,7.345
0.388,-0.605,0.884,-27.236,13.243,6.791
0.379,-0.613,0.874,-27.151,13.417,6.369
0.370,-0.621,0.866,-26.891,13.519,6.084
0.362,-0.628,0.858,-26.548,13.554,5.914
0.353,-0.635,0.850,-26.197,13.513,5.847
0.344,-0.640,0.842,-25.929,13.403,5.835
0.335,-0.646,0.834,-25.761,13.225,5.846
0.326,-0.651,0.826,-25.739,12.986,5.847
0.317,-0.656,0.818,-25.893,12.658,5.805
0.307,-0.660,0.809,-26.197,12.299,5.725
0.298,-0.665,0.800,-26.529,11.927,5.620
0.289,-0.671,0.791,-26.796,11.554,5.506
0.281,-0.676,0.782,-26.902,11.197,5.389
0.272,-0.682,0.774,-26.855,10.863,5.277
0.265,-0.688,0.767,-26.651,10.555,5.180
0.257,-0.694,0.760,-26.269,10.261,5.115
0.250,-0.700,0.754,-25.763,9.998,5.111
0.244,-0.706,0.747,-25.148,9.773,5.169
0.237,-0.712,0.741,-24.491,9.593,5.290
0.231,-0.717,0.735,-23.808,9.451,5.466
0.225,-0.723,0.728,-23.130,9.336,5.670
0.219,-0.728,0.722,-22.477,9.207,5.879
0.213,-0.732,0.716,-21.887,9.041,6.071
0.207,-0.736,0.710,-21.366,8.840,6.217
0.201,-0.740,0.704,-20.867,8.623,6.316
0.195,-0.744,0.698,-20.349,8.398,6.397
0.190,-0.748,0.693,-19.812,8.158,6.459
0.184,-0.752,0.689,-19.265,7.895,6.523
0.179,-0.755,0.684,-18.710,7.629,6.581
0.174,-0.759,0.680,-18.158,7.357,6.640
0.170,-0.762,0.675,-17.614,7.080,6.720
0.165,-0.766,0.671,-17.074,6.812,6.817
0.161,-0.770,0.666,-16.534,6.571,6.932
0.157,-0.773,0.660,-16.022,6.366,7.065
0.153,-0.776,0.655,-15.544,6.181,7.219
0.149,-0.779,0.649,-15.108,6.006,7.383
0.146,-0.782,0.644,-14.711,5.837,7.554
0.142,-0.785,0.640,-14.368,5.663,7.708
0.138,-0.787,0.635,-14.050,5.484,7.840
0.135,-0.790,0.631,-13.741,5.292,7.942
0.131,-0.792,0.627,-13.445,5.092,8.019
0.128,-0.794,0.624,-13.143,4.892,8.084
0.125,-0.796,0.620,-12.823,4.699,8.145
0.121,-0.798,0.616,-12.496,4.509,8.199
0.118,-0.800,0.613,-12.164,4.329,8.234
0.115,-0.801,0.609,-11.853,4.163,8.251
