aX,aY,aZ,gX,gY,gZ
-0.189,-0.451,1.230,-2.546,-4.499,-0.254
-0.193,-0.454,1.244,-3.997,-6.640,0.713
-0.196,-0.458,1.260,-5.107,-8.699,1.697
-0.199,-0.464,1.276,-5.878,-10.649,2.823
-0.202,-0.472,1.292,-6.374,-12.416,4.135
-0.204,-0.481,1.309,-6.575,-13.935,5.690
-0.207,-0.491,1.326,-6.520,-15.421,7.533
-0.211,-0.500,1.344,-6.236,-17.110,9.735
-0.214,-0.510,1.362,-5.558,-19.079,12.574
-0.216,-0.519,1.383,-4.529,-21.198,15.688
-0.214,-0.529,1.402,-3.228,-21.826,18.529
-0.211,-0.537,1.421,-1.645,-22.615,21.234
-0.207,-0.546,1.438,0.151,-23.382,24.134
-0.203,-0.553,1.457,2.523,-23.977,26.974
-0.198,-0.563,1.465,4.311,-24.511,29.744
-0.187,-0.571,1.467,5.682,-24.168,32.376
-0.166,-0.580,1.463,6.584,-21.827,34.567
-0.147,-0.589,1.457,7.286,-17.865,36.272
-0.126,-0.600,1.450,8.023,-12.226,37.447
-0.105,-0.613,1.441,9.215,-4.633,37.869
-0.086,-0.626,1.431,11.048,4.816,37.972
-0.068,-0.638,1.421,13.836,15.744,38.056
-0.052,-0.650,1.411,17.739,27.703,37.980
-0.038,-0.659,1.403,22.645,40.898,37.737
-0.025,-0.665,1.395,28.208,54.372,37.367
-0.013,-0.669,1.388,33.799,67.935,36.900
-0.000,-0.670,1.381,38.840,81.595,36.442
0.012,-0.669,1.374,42.994,95.246,36.095
0.023,-0.666,1.366,46.204,108.689,35.963
0.034,-0.661,1.353,48.459,121.900,36.036
0.043,-0.655,1.337,49.811,134.926,36.298
0.052,-0.647,1.317,50.421,147.497,36.722
0.059,-0.639,1.292,50.456,159.658,37.208
0.063,-0.630,1.265,50.217,170.739,37.665
0.065,-0.623,1.236,49.991,180.402,37.991
0.066,-0.618,1.206,50.109,188.609,38.145
0.065,-0.615,1.175,51.014,195.738,38.068
0.065,-0.612,1.143,53.583,201.917,37.675
0.063,-0.608,1.112,57.411,207.205,37.164
0.059,-0.602,1.080,62.033,211.452,36.612
0.055,-0.593,1.050,66.838,214.883,36.064
0.051,-0.580,1.023,71.479,217.528,35.512
0.046,-0.566,0.999,75.500,219.603,34.975
0.041,-0.551,0.977,79.003,220.886,34.483
0.034,-0.536,0.957,82.087,220.609,34.059
0.026,-0.519,0.939,84.778,218.809,33.592
0.019,-0.503,0.922,87.049,216.149,33.048
0.013,-0.486,0.905,89.082,212.935,32.567
0.007,-0.470,0.886,91.080,209.181,32.174
-0.001,-0.453,0.869,92.826,204.915,31.925
-0.009,-0.436,0.853,93.948,200.000,31.810
-0.018,-0.418,0.837,94.237,194.887,31.881
-0.027,-0.401,0.822,93.767,189.644,32.138
-0.036,-0.384,0.805,92.711,184.340,32.539
-0.045,-0.368,0.788,91.135,179.050,33.088
-0.054,-0.353,0.772,89.349,173.802,33.652
-0.064,-0.337,0.755,87.411,168.641,34.167
-0.074,-0.322,0.738,85.402,163.610,34.603
-0.085,-0.307,0.721,83.399,158.760,34.935
-0.096,-0.292,0.704,81.123,154.117,35.135
-0.107,-0.279,0.688,78.905,149.663,35.236
-0.118,-0.266,0.673,77.044,145.380,35.267
-0.130,-0.255,0.660,75.322,141.252,35.233
-0.141,-0.243,0.648,73.723,137.262,35.189
-0.153,-0.231,0.637,72.247,133.391,35.158
-0.164,-0.219,0.626,70.890,129.644,35.123
-0.176,-0.206,0.615,69.619,126.157,35.027
-0.188,-0.193,0.603,68.373,122.647,34.839
-0.199,-0.180,0.591,67.103,119.254,34.550
-0.211,-0.167,0.578,65.777,115.976,34.153
-0.222,-0.154,0.564,64.359,112.813,33.612
-0.233,-0.141,0.550,62.906,109.776,33.005
-0.244,-0.129,0.538,61.193,106.666,32.360
-0.255,-0.118,0.525,59.219,103.109,31.680
-0.265,-0.108,0.515,57.080,98.886,30.987
-0.274,-0.098,0.507,54.860,94.299,30.299
-0.282,-0.089,0.500,52.565,89.508,29.636
-0.290,-0.080,0.495,50.216,84.555,28.987
-0.297,-0.071,0.490,47.831,79.463,28.323
-0.304,-0.063,0.486,45.461,74.301,27.646
-0.310,-0.056,0.482,43.162,69.138,26.945
-0.315,-0.049,0.477,40.927,63.961,26.230
-0.321,-0.043,0.473,38.663,58.664,25.497
-0.327,-0.036,0.468,36.207,53.214,24.754
-0.333,-0.030,0.463,33.479,47.911,23.992
-0.339,-0.023,0.457,30.384,42.768,23.228
-0.345,-0.016,0.451,26.943,37.703,22.432
-0.351,-0.010,0.446,23.393,32.690,21.615
-0.356,-0.005,0.443,19.796,27.669,20.790
-0.361,0.001,0.441,16.140,22.599,19.943
-0.365,0.007,0.442,12.265,17.504,19.070
-0.367,0.012,0.444,8.125,12.354,18.182
-0.369,0.017,0.448,3.671,7.392,17.231
-0.371,0.021,0.452,-1.018,2.582,16.250
-0.373,0.025,0.456,-5.889,-2.086,15.288
-0.376,0.027,0.460,-10.830,-6.659,14.322
-0.380,0.028,0.463,-15.869,-11.179,13.366
-0.384,0.028,0.466,-21.141,-15.704,12.396
-0.389,0.028,0.468,-26.625,-20.304,11.413
-0.393,0.027,0.469,-32.215,-24.905,10.371
-0.396,0.025,0.471,-37.768,-29.533,9.177
-0.398,0.022,0.476,-42.743,-34.010,7.868
-0.398,0.018,0.481,-46.798,-38.178,6.498
-0.397,0.012,0.488,-49.839,-41.938,5.112
-0.396,0.006,0.497,-52.037,-45.425,3.742
-0.396,-0.001,0.507,-53.692,-48.677,2.403
-0.397,-0.007,0.517,-55.099,-51.210,1.681
-0.397,-0.012,0.524,-56.142,-53.173,1.440
-0.399,-0.018,0.528,-56.558,-56.298,-0.397
-0.401,-0.021,0.530,-59.372,-57.392,-0.324
-0.400,-0.031,0.528,-61.387,-57.987,-0.553
-0.401,-0.040,0.529,-61.749,-59.181,-1.528
-0.402,-0.043,0.532,-62.427,-60.343,-3.256
-0.398,-0.045,0.540,-63.658,-61.043,-5.263
-0.395,-0.049,0.550,-65.021,-61.407,-7.753
-0.392,-0.056,0.562,-66.439,-61.487,-9.670
-0.393,-0.066,0.575,-67.805,-62.963,-10.237
-0.400,-0.076,0.588,-68.868,-66.557,-10.741
-0.402,-0.084,0.598,-70.140,-70.008,-11.729
-0.402,-0.089,0.605,-73.659,-73.132,-13.299
-0.402,-0.093,0.612,-77.419,-76.341,-15.071
-0.401,-0.099,0.618,-82.093,-79.571,-17.137
-0.397,-0.106,0.625,-87.387,-82.291,-19.517
-0.392,-0.115,0.633,-92.783,-84.550,-22.037
-0.387,-0.125,0.643,-97.525,-86.762,-24.488
-0.385,-0.136,0.654,-101.397,-88.948,-26.821
-0.384,-0.147,0.667,-104.497,-90.871,-28.992
-0.383,-0.159,0.678,-107.170,-92.175,-31.023
-0.381,-0.171,0.687,-109.853,-92.839,-32.812
-0.378,-0.183,0.695,-112.590,-93.046,-34.424
-0.375,-0.195,0.702,-115.372,-92.926,-35.964
-0.371,-0.207,0.710,-118.075,-92.601,-37.398
-0.366,-0.219,0.718,-120.386,-92.113,-38.682
-0.360,-0.234,0.728,-121.739,-91.463,-39.867
-0.354,-0.250,0.739,-122.120,-90.700,-40.914
-0.347,-0.268,0.752,-121.408,-89.861,-41.982
-0.342,-0.286,0.765,-119.835,-89.033,-43.075
-0.336,-0.304,0.777,-117.584,-88.286,-44.344
-0.330,-0.322,0.788,-115.116,-87.623,-45.846
-0.324,-0.338,0.797,-112.559,-86.945,-47.521
-0.317,-0.355,0.804,-110.029,-86.136,-49.211
-0.310,-0.370,0.808,-107.600,-85.130,-50.724
-0.301,-0.385,0.812,-105.271,-83.880,-52.061
-0.293,-0.400,0.814,-103.035,-82.314,-53.201
-0.284,-0.413,0.818,-100.849,-80.644,-54.170
-0.277,-0.425,0.823,-98.638,-78.957,-54.954
-0.270,-0.436,0.830,-96.396,-77.305,-55.618
-0.264,-0.447,0.839,-94.182,-75.729,-56.167
-0.259,-0.456,0.848,-92.070,-74.249,-56.567
-0.255,-0.464,0.856,-90.125,-72.879,-56.752
-0.251,-0.472,0.863,-88.379,-71.641,-56.874
-0.246,-0.480,0.869,-86.793,-70.504,-56.963
-0.241,-0.487,0.873,-85.328,-69.416,-57.044
-0.235,-0.495,0.874,-83.971,-68.338,-57.119
-0.228,-0.503,0.874,-82.671,-67.230,-57.194
-0.220,-0.512,0.872,-81.372,-66.063,-57.255
-0.211,-0.522,0.869,-79.979,-64.802,-57.281
-0.202,-0.532,0.867,-78.427,-63.502,-57.267
-0.193,-0.542,0.866,-76.640,-62.208,-57.231
-0.185,-0.552,0.865,-74.782,-60.958,-57.193
-0.177,-0.562,0.866,-72.923,-59.789,-57.128
-0.170,-0.570,0.866,-71.102,-58.688,-57.000
-0.163,-0.577,0.867,-69.334,-57.639,-56.732
-0.156,-0.583,0.868,-67.628,-56.651,-56.426
-0.149,-0.588,0.864,-65.984,-55.770,-56.108
-0.141,-0.593,0.863,-64.422,-54.720,-55.519
-0.131,-0.598,0.861,-62.908,-53.348,-54.929
-0.121,-0.603,0.860,-61.475,-51.890,-54.409
-0.113,-0.606,0.859,-60.110,-50.897,-54.023
-0.107,-0.609,0.858,-58.841,-50.239,-53.914
-0.100,-0.611,0.857,-57.683,-49.631,-54.074
-0.092,-0.614,0.855,-56.637,-48.940,-54.334
-0.083,-0.618,0.853,-55.632,-48.147,-54.388
-0.076,-0.623,0.852,-54.647,-47.231,-54.132
-0.069,-0.627,0.850,-53.667,-46.239,-53.595
-0.062,-0.632,0.849,-52.657,-45.207,-52.861
-0.055,-0.637,0.848,-51.577,-44.215,-52.107
-0.049,-0.640,0.847,-50.493,-43.314,-51.398
-0.043,-0.643,0.845,-49.444,-42.481,-50.776
-0.036,-0.646,0.844,-48.434,-41.686,-50.247
-0.029,-0.650,0.842,-47.461,-40.939,-49.776
-0.022,-0.653,0.842,-46.518,-40.274,-49.342
-0.016,-0.656,0.841,-45.598,-39.691,-48.863
-0.010,-0.660,0.841,-44.687,-39.168,-48.281
-0.004,-0.664,0.840,-43.763,-38.662,-47.652
0.003,-0.667,0.840,-42.835,-38.133,-46.998
0.009,-0.671,0.839,-41.920,-37.560,-46.321
0.015,-0.674,0.839,-41.021,-36.971,-45.624
0.022,-0.678,0.838,-40.133,-36.374,-44.832
0.028,-0.683,0.838,-39.245,-35.790,-43.954
0.034,-0.687,0.839,-38.351,-35.236,-43.009
0.040,-0.690,0.839,-37.450,-34.691,-42.040
0.046,-0.694,0.840,-36.543,-34.116,-41.083
0.052,-0.698,0.841,-35.638,-33.500,-40.139
0.058,-0.701,0.841,-34.740,-32.845,-39.190
0.063,-0.705,0.841,-33.830,-32.162,-38.208
0.068,-0.708,0.841,-32.909,-31.460,-37.185
0.073,-0.710,0.840,-31.987,-30.731,-36.116
0.078,-0.713,0.838,-31.065,-29.961,-34.993

0.137,-0.777,0.956,-30.095,-29.995,-32.242
0.136,-0.783,0.967,-29.022,-30.079,-29.294
0.136,-0.788,0.979,-27.858,-30.259,-25.945
0.135,-0.794,0.992,-26.601,-30.480,-22.275
0.135,-0.800,1.006,-25.238,-30.683,-18.347
0.135,-0.807,1.019,-23.799,-30.867,-14.181
0.135,-0.813,1.033,-22.354,-31.087,-9.578
0.135,-0.820,1.046,-20.979,-31.337,-4.713
0.134,-0.827,1.058,-19.701,-31.524,0.291
0.135,-0.835,1.071,-18.521,-31.564,5.332
0.136,-0.843,1.085,-17.343,-31.544,10.445
0.138,-0.850,1.098,-16.120,-31.496,15.714
0.140,-0.859,1.111,-14.742,-31.387,20.621
0.143,-0.866,1.123,-13.382,-30.773,24.946
0.149,-0.874,1.134,-11.944,-29.390,29.107
0.153,-0.881,1.145,-10.264,-27.783,33.252
0.156,-0.888,1.155,-8.213,-25.995,37.346
0.159,-0.896,1.164,-5.481,-23.939,41.317
0.162,-0.904,1.173,-2.007,-21.598,45.080
0.166,-0.912,1.180,2.310,-18.939,48.561
0.170,-0.920,1.185,7.491,-15.606,51.789
0.175,-0.927,1.189,13.303,-11.631,54.745
0.180,-0.933,1.191,19.375,-6.878,57.499
0.184,-0.939,1.190,25.066,-1.197,60.115
0.189,-0.941,1.187,29.674,5.383,62.571
0.192,-0.942,1.183,33.547,12.483,64.837
0.194,-0.942,1.178,36.864,19.887,66.788
0.195,-0.942,1.170,40.105,27.420,68.366
0.196,-0.942,1.162,43.471,35.391,69.588
0.195,-0.942,1.152,47.009,43.650,70.518
0.194,-0.941,1.142,50.915,52.050,71.201
0.191,-0.941,1.131,55.553,60.378,71.562
0.188,-0.942,1.121,60.563,68.660,71.701
0.185,-0.942,1.110,65.895,76.938,71.650
0.182,-0.942,1.098,71.434,85.356,71.449
0.178,-0.940,1.085,77.109,93.875,71.179
0.174,-0.935,1.072,82.725,102.448,70.829
0.168,-0.929,1.059,88.053,110.662,70.365
0.161,-0.920,1.045,93.060,118.458,69.820
0.153,-0.910,1.030,97.730,125.860,69.151
0.144,-0.898,1.014,101.919,132.764,68.285
0.133,-0.885,0.995,105.435,139.187,67.393
0.122,-0.869,0.975,108.330,145.012,66.392
0.110,-0.852,0.955,110.732,150.019,65.243
0.097,-0.835,0.936,112.868,153.881,63.911
0.084,-0.819,0.920,114.697,156.420,62.436
0.070,-0.804,0.904,116.403,158.166,60.844
0.056,-0.789,0.887,117.999,159.453,59.193
0.044,-0.774,0.870,119.535,160.425,57.489
0.032,-0.759,0.853,121.034,161.219,55.750
0.020,-0.743,0.837,122.653,161.795,53.978
0.010,-0.727,0.821,124.585,162.200,52.101
0.000,-0.711,0.807,126.977,162.363,50.027
-0.009,-0.696,0.794,129.719,162.376,47.827
-0.017,-0.680,0.781,132.647,162.217,45.644
-0.024,-0.665,0.767,135.493,161.734,43.576
-0.030,-0.649,0.752,138.072,161.134,41.680
-0.036,-0.633,0.736,140.386,160.316,39.898
-0.043,-0.616,0.720,142.334,159.148,38.133
-0.050,-0.598,0.705,143.386,157.566,36.425
-0.057,-0.579,0.691,143.559,155.554,34.761
-0.065,-0.560,0.678,142.674,153.095,33.164
-0.072,-0.540,0.667,140.820,150.066,31.674
-0.079,-0.520,0.657,138.299,146.699,30.298
-0.085,-0.502,0.647,135.431,143.160,29.061
-0.091,-0.485,0.637,132.376,139.596,27.972
-0.096,-0.469,0.626,129.285,136.162,26.940
-0.101,-0.453,0.615,126.166,132.859,25.967
-0.107,-0.437,0.602,123.043,129.596,25.054
-0.114,-0.421,0.589,119.972,126.284,24.181
-0.122,-0.405,0.575,117.005,122.980,23.355
-0.130,-0.390,0.561,114.177,119.709,22.590
-0.138,-0.376,0.547,109.854,116.498,21.902
-0.146,-0.362,0.534,106.596,113.364,21.270
-0.155,-0.349,0.522,103.463,110.316,20.710
-0.164,-0.337,0.511,100.598,107.366,20.199
-0.175,-0.324,0.502,98.055,104.544,19.710
-0.186,-0.312,0.495,95.707,101.455,19.202
-0.196,-0.300,0.489,93.420,98.110,18.671
-0.207,-0.289,0.484,91.205,94.668,18.152
-0.217,-0.277,0.481,89.068,91.137,17.683
-0.227,-0.266,0.479,86.989,87.523,17.243
-0.238,-0.254,0.477,84.939,83.898,16.828
-0.248,-0.242,0.475,82.741,80.257,16.461
-0.259,-0.231,0.473,80.042,76.578,16.106
-0.270,-0.219,0.472,76.814,72.765,15.738
-0.282,-0.209,0.470,73.086,68.789,15.316
-0.295,-0.199,0.470,69.193,64.635,14.855
-0.308,-0.189,0.470,65.316,60.394,14.259
-0.320,-0.179,0.472,61.278,58.244,13.485
-0.331,-0.170,0.475,57.514,56.031,12.754
-0.345,-0.163,0.480,53.812,53.650,12.031
-0.358,-0.155,0.485,50.236,51.224,11.269
-0.370,-0.148,0.491,46.506,48.860,10.534
-0.383,-0.141,0.495,42.620,46.595,9.897
-0.395,-0.136,0.499,38.743,44.479,9.383
-0.407,-0.131,0.502,35.093,42.529,8.976
-0.419,-0.128,0.504,31.848,40.865,8.729
-0.432,-0.125,0.505,29.207,39.420,8.664
-0.444,-0.123,0.508,27.276,38.147,8.742
-0.456,-0.123,0.511,26.058,36.994,8.911
-0.467,-0.122,0.515,25.581,35.882,9.100
-0.478,-0.121,0.520,25.401,34.800,9.253
-0.489,-0.119,0.525,25.455,33.735,9.349
-0.499,-0.116,0.531,25.673,32.659,9.396
-0.509,-0.114,0.536,25.982,31.594,9.405
-0.518,-0.111,0.542,26.313,30.535,9.386
-0.527,-0.107,0.547,26.534,29.472,9.318
-0.536,-0.103,0.552,26.563,28.355,9.205
-0.545,-0.098,0.557,26.361,27.157,9.046
-0.554,-0.093,0.561,25.971,25.903,8.846
-0.562,-0.088,0.565,25.450,24.584,8.594
-0.570,-0.084,0.569,24.816,23.244,8.283
-0.578,-0.080,0.573,24.112,21.920,7.924
-0.585,-0.077,0.578,23.348,20.625,7.526
-0.592,-0.074,0.582,22.581,19.424,7.137
-0.598,-0.072,0.586,21.869,18.341,6.780
-0.604,-0.070,0.590,21.272,17.389,6.480
-0.609,-0.069,0.593,20.811,16.591,6.228
-0.615,-0.068,0.596,20.435,15.901,6.018
-0.620,-0.066,0.599,20.098,15.297,5.816
-0.625,-0.064,0.601,19.780,14.745,5.598
-0.629,-0.062,0.604,19.467,14.215,5.365
-0.634,-0.061,0.607,19.155,13.698,5.106
-0.639,-0.059,0.610,18.811,13.171,4.827
-0.643,-0.056,0.613,18.401,12.640,4.542
-0.647,-0.054,0.617,17.920,12.111,4.254
-0.651,-0.052,0.620,17.372,11.597,3.966
-0.654,-0.051,0.623,16.768,11.106,3.686
-0.658,-0.049,0.625,16.106,10.641,3.418
-0.661,-0.048,0.627,15.443,10.206,3.169
-0.663,-0.047,0.629,14.823,9.796,2.949
-0.666,-0.046,0.630,14.282,9.407,2.758
-0.669,-0.046,0.631,13.847,9.037,2.596
-0.671,-0.045,0.632,13.524,8.683,2.460
-0.674,-0.045,0.633,13.308,8.351,2.347
-0.676,-0.045,0.634,13.189,8.050,2.259
-0.678,-0.045,0.635,13.124,7.762,2.194
-0.680,-0.044,0.637,13.077,7.478,2.131
-0.682,-0.044,0.638,13.058,7.221,2.072
-0.683,-0.043,0.639,13.067,6.984,2.020
-0.685,-0.042,0.640,13.091,6.757,1.966
-0.687,-0.041,0.641,13.115,6.539,1.916
-0.689,-0.039,0.642,13.112,6.317,1.855
-0.691,-0.038,0.643,13.082,6.083,1.782
-0.692,-0.037,0.644,13.018,5.846,1.697
-0.694,-0.035,0.645,12.923,5.605,1.595
-0.696,-0.034,0.645,12.785,5.364,1.487
-0.697,-0.032,0.645,12.615,5.115,1.383
-0.699,-0.031,0.646,12.390,4.859,1.286
-0.701,-0.029,0.646,12.163,4.605,1.188
-0.703,-0.028,0.646,11.946,4.356,1.099
-0.704,-0.028,0.647,11.747,4.117,1.028
-0.706,-0.027,0.648,11.592,3.878,0.941
-0.708,-0.026,0.649,11.468,3.644,0.845
-0.709,-0.026,0.650,11.364,3.428,0.750
