aX,aY,aZ,gX,gY,gZ
-0.229,-1.618,-1.031,-536.480,-9.310,-121.870
-0.244,-1.952,-0.714,-578.900,-7.630,-114.380
-0.241,-2.233,-1.045,-516.740,7.140,-102.550
-0.330,-2.412,-1.176,-470.260,12.110,-79.590
-0.348,-2.417,-1.391,-392.210,9.940,-63.420
-0.299,-2.389,-1.557,-307.160,-5.320,-44.730
-0.074,-2.351,-1.643,-231.280,-16.870,-25.340
0.045,-2.324,-1.816,-140.840,-30.730,-1.470
0.151,-2.343,-1.972,-31.570,-48.650,17.640
0.207,-2.452,-2.082,37.030,-67.060,39.270
0.199,-2.613,-2.149,89.250,-81.200,64.120
0.180,-2.671,-2.155,117.670,-90.860,92.960
0.156,-2.625,-2.079,119.140,-111.370,122.220
0.166,-2.548,-1.901,97.510,-131.390,147.910
0.180,-2.476,-1.787,66.010,-148.120,170.380
0.183,-2.384,-1.728,38.920,-163.800,189.350
0.203,-2.277,-1.698,22.190,-179.620,204.540
0.230,-2.152,-1.699,22.470,-190.960,219.730
0.255,-1.950,-1.704,41.440,-199.500,229.250
0.310,-1.783,-1.696,62.790,-206.710,237.160
0.374,-1.631,-1.683,84.560,-211.820,244.020
0.420,-1.499,-1.648,103.250,-214.830,250.460
0.441,-1.364,-1.556,116.690,-217.700,256.200
0.480,-1.215,-1.427,124.250,-215.880,261.100
0.532,-1.125,-1.313,127.190,-206.430,265.300
0.585,-1.043,-1.204,127.400,-193.970,269.150
0.591,-0.918,-1.087,126.000,-181.790,274.400
0.586,-0.773,-0.985,124.950,-176.260,279.580
0.549,-0.609,-0.899,125.930,-178.500,281.680
0.520,-0.427,-0.803,126.700,-185.710,280.630
0.486,-0.327,-0.681,127.750,-195.720,277.130
0.451,-0.231,-0.529,130.060,-205.590,270.620
0.419,-0.171,-0.350,132.090,-209.860,261.590
0.377,-0.114,-0.176,129.150,-211.820,250.740
0.350,-0.064,-0.170,121.450,-199.430,237.230
0.373,-0.128,-0.212,105.000,-183.610,219.660
0.379,-0.166,-0.219,88.130,-168.700,199.990
0.401,-0.155,-0.259,71.050,-154.420,180.390
0.419,-0.136,-0.238,56.140,-145.810,162.190
0.378,-0.070,-0.109,28.910,-150.570,141.960
0.313,0.042,0.040,-9.520,-164.640,127.960
0.224,0.151,0.047,-4.900,-167.160,117.250
0.159,0.190,0.195,-29.330,-176.610,108.290
0.085,0.178,0.142,-15.540,-174.790,101.360
0.001,0.173,0.220,-28.000,-174.440,93.590
-0.008,0.145,0.032,28.070,-148.820,85.820
-0.029,0.124,0.220,39.340,-121.100,75.530
-0.022,0.069,0.193,53.900,-92.120,65.730
-0.071,0.000,0.151,66.220,-65.310,58.660
-0.112,-0.062,0.126,75.670,-52.080,54.950
-0.148,-0.067,0.148,81.550,-42.700,51.940
-0.164,-0.058,0.182,85.260,-33.390,48.790
-0.182,-0.020,0.221,87.010,-24.290,44.660
-0.220,0.051,0.246,85.750,-17.150,40.180
-0.252,0.106,0.261,82.810,-12.460,33.320
-0.293,0.144,0.274,79.030,-9.660,24.990
-0.338,0.142,0.269,74.130,-9.240,15.400
-0.369,0.094,0.265,70.420,-11.060,5.530
-0.378,0.010,0.274,68.320,-14.070,-2.800
-0.366,-0.079,0.276,68.530,-14.770,-8.260
-0.342,-0.146,0.269,71.890,-10.500,-11.340
-0.346,-0.180,0.251,75.740,-6.300,-12.110
-0.371,-0.218,0.229,79.380,-2.520,-10.360
-0.417,-0.234,0.208,82.880,0.210,-6.790
-0.468,-0.227,0.207,81.760,1.960,-3.780
-0.529,-0.198,0.240,75.460,2.240,-3.500
-0.590,-0.157,0.254,67.690,0.840,-5.250
-0.649,-0.121,0.297,61.460,-2.450,-8.890
-0.713,-0.103,0.360,56.420,-4.690,-14.630
-0.737,-0.129,0.386,51.170,-4.410,-20.440
-0.723,-0.194,0.398,48.300,-3.990,-24.500
-0.695,-0.283,0.397,47.460,-2.170,-26.110
-0.663,-0.392,0.379,49.700,2.660,-23.590
-0.638,-0.442,0.338,52.500,10.150,-18.830
-0.635,-0.441,0.306,53.060,18.760,-12.740
-0.634,-0.419,0.258,53.410,27.860,-7.280
-0.651,-0.402,0.227,53.130,37.100,-4.760
-0.691,-0.388,0.210,52.150,40.740,-5.600
-0.731,-0.381,0.202,50.540,41.160,-8.120
-0.761,-0.390,0.195,47.250,39.270,-11.200
-0.789,-0.391,0.189,44.660,35.560,-13.370
-0.806,-0.390,0.206,42.980,32.550,-15.750
-0.811,-0.409,0.226,41.860,30.590,-17.710
-0.799,-0.441,0.253,39.340,28.560,-19.530
-0.783,-0.468,0.270,35.770,26.810,-19.390
-0.760,-0.491,0.279,32.480,26.180,-17.220
-0.737,-0.517,0.230,30.170,27.790,-13.370
-0.744,-0.535,0.179,29.680,29.470,-9.030
-0.768,-0.508,0.147,29.610,30.870,-6.230
-0.784,-0.489,0.128,28.700,31.780,-5.600
-0.804,-0.484,0.107,27.720,32.200,-6.510
-0.825,-0.477,0.107,27.300,31.290,-7.840
-0.835,-0.476,0.116,26.740,29.890,-9.170
-0.846,-0.476,0.122,27.230,28.420,-10.290
-0.860,-0.461,0.142,27.580,26.250,-10.780
-0.866,-0.447,0.178,26.670,24.430,-11.130
-0.865,-0.435,0.195,25.060,22.540,-11.480
-0.859,-0.434,0.194,21.770,21.420,-11.480
-0.864,-0.430,0.169,18.200,19.530,-12.460
-0.861,-0.449,0.131,12.670,17.710,-13.860
-0.849,-0.478,0.087,9.730,16.310,-13.860
-0.846,-0.498,0.060,8.120,14.140,-13.510
-0.853,-0.523,0.038,7.560,12.250,-13.020
-0.860,-0.535,0.028,7.840,10.150,-12.460
-0.858,-0.543,0.033,9.030,7.630,-12.320
-0.852,-0.561,0.061,10.640,5.530,-12.040
-0.839,-0.572,0.077,11.060,5.390,-10.780
-0.840,-0.560,0.087,10.710,4.900,-9.800
-0.839,-0.544,0.104,9.520,4.690,-8.890
-0.838,-0.504,0.121,7.350,4.760,-8.330
-0.846,-0.463,0.129,3.220,4.340,-9.240
-0.844,-0.447,0.119,-0.560,4.550,-10.850
-0.845,-0.468,0.102,-3.990,4.410,-12.740
-0.841,-0.502,0.087,-6.650,3.640,-13.860
-0.827,-0.544,0.040,-6.720,3.640,-13.510
-0.813,-0.584,0.009,-4.970,3.780,-11.760
-0.813,-0.595,-0.003,-1.400,3.710,-9.800
-0.814,-0.603,0.013,2.170,3.780,-8.260
-0.810,-0.611,0.036,6.510,3.920,-6.440
-0.808,-0.605,0.061,8.820,3.360,-5.250
-0.803,-0.586,0.084,6.300,3.640,-3.780
-0.811,-0.544,0.099,2.870,3.780,-3.500
-0.816,-0.530,0.098,-1.330,1.750,-4.340
-0.828,-0.523,0.098,-5.460,-0.980,-5.600
-0.838,-0.500,0.109,-8.960,-3.710,-7.000
-0.837,-0.486,0.100,-11.620,-5.180,-9.660
-0.827,-0.513,0.076,-12.810,-5.530,-11.270
-0.814,-0.551,0.050,-11.970,-6.090,-10.780
-0.788,-0.573,0.019,-9.240,-5.670,-8.960
-0.757,-0.583,0.004,-5.040,-4.410,-7.210
-0.747,-0.583,0.020,-1.260,-3.360,-6.230
-0.735,-0.568,0.047,0.140,-2.310,-5.250
-0.728,-0.536,0.071,0.840,-1.610,-4.900
-0.734,-0.518,0.085,0.000,-1.120,-5.670
-0.746,-0.509,0.089,-1.190,-1.820,-7.350
-0.746,-0.505,0.092,-3.010,-3.360,-8.680
-0.730,-0.503,0.087,-4.760,-3.850,-9.170
-0.712,-0.482,0.083,-6.860,-3.920,-9.730
-0.709,-0.453,0.071,-6.650,-3.570,-10.990
-0.707,-0.456,0.065,-5.810,-3.290,-12.530
-0.704,-0.454,0.041,-3.850,-3.150,-13.580
-0.711,-0.472,0.012,-2.940,-3.850,-14.630
-0.734,-0.503,0.003,-1.750,-5.950,-16.030
-0.745,-0.527,0.023,0.210,-9.520,-17.360
-0.761,-0.543,0.059,4.200,-11.900,-18.970
-0.778,-0.550,0.089,6.160,-11.340,-19.740
-0.772,-0.535,0.109,5.880,-8.470,-19.250
-0.767,-0.518,0.109,5.600,-4.060,-18.970
-0.777,-0.514,0.105,3.990,-1.400,-19.460
-0.788,-0.512,0.094,1.470,0.210,-19.950
-0.799,-0.512,0.088,-1.050,0.910,-22.050
-0.818,-0.525,0.088,-4.760,0.140,-24.570
-0.835,-0.560,0.083,-7.560,-1.120,-26.670
-0.845,-0.602,0.066,-8.750,-2.240,-27.790
-0.839,-0.646,0.030,-8.470,-1.330,-27.020
-0.838,-0.684,0.007,-6.860,0.700,-24.710
-0.849,-0.709,0.008,-4.970,1.540,-22.330
-0.862,-0.715,0.041,-4.480,1.890,-19.740
-0.867,-0.705,0.073,-5.460,3.920,-18.060
-0.870,-0.697,0.085,-6.300,6.510,-17.360
