aX,aY,aZ,gX,gY,gZ
0.613,-0.056,1.269,2.478,-6.469,5.823
0.625,-0.055,1.278,3.850,-16.357,0.253
0.637,-0.053,1.285,4.824,-24.124,-5.045
0.649,-0.051,1.290,5.385,-30.529,-10.097
0.660,-0.048,1.293,5.634,-35.872,-14.904
0.670,-0.046,1.296,5.462,-40.475,-19.265
0.679,-0.044,1.297,4.945,-44.120,-23.087
0.688,-0.042,1.298,4.105,-46.773,-26.262
0.695,-0.041,1.297,3.063,-48.577,-28.840
0.703,-0.039,1.295,1.815,-49.716,-30.871
0.710,-0.038,1.292,0.567,-50.339,-32.398
0.716,-0.037,1.288,-0.630,-50.275,-33.519
0.720,-0.035,1.283,-1.665,-49.983,-34.195
0.725,-0.034,1.278,-2.617,-49.364,-34.252
0.728,-0.033,1.272,-3.424,-48.506,-34.097
0.731,-0.032,1.265,-4.154,-47.440,-33.672
0.734,-0.031,1.256,-4.753,-46.202,-33.056
0.736,-0.031,1.245,-5.171,-44.864,-32.308
0.739,-0.029,1.234,-5.470,-43.460,-31.355
0.740,-0.027,1.223,-5.659,-42.021,-30.331
0.741,-0.026,1.212,-5.697,-40.550,-29.267
0.741,-0.023,1.200,-5.617,-39.057,-28.114
0.741,-0.020,1.188,-5.442,-37.541,-26.815
0.741,-0.016,1.176,-5.227,-36.034,-25.450
0.739,-0.012,1.164,-4.991,-34.560,-24.088
0.737,-0.008,1.153,-4.744,-33.142,-22.786
0.735,-0.004,1.141,-4.496,-31.791,-21.570
0.732,0.000,1.130,-4.259,-30.518,-20.446
0.729,0.004,1.119,-4.025,-29.321,-19.434
0.726,0.008,1.108,-3.784,-28.190,-18.537
0.723,0.011,1.097,-3.554,-27.155,-17.766
0.720,0.015,1.086,-3.344,-26.193,-17.081
0.717,0.018,1.074,-3.128,-25.257,-16.479
0.716,0.021,1.062,-2.926,-24.316,-15.938
0.714,0.024,1.052,-2.777,-23.394,-15.441
0.712,0.027,1.042,-2.724,-22.503,-14.989
0.711,0.029,1.033,-2.755,-21.656,-14.576
0.710,0.031,1.025,-2.868,-20.822,-14.204
0.709,0.033,1.016,-3.043,-19.994,-13.846
0.709,0.035,1.009,-3.267,-19.173,-13.491
0.708,0.035,1.001,-3.489,-18.368,-13.121
0.708,0.036,0.993,-3.656,-17.586,-12.740
0.708,0.036,0.986,-3.755,-16.810,-12.352
0.707,0.036,0.978,-3.770,-16.054,-11.944
0.707,0.036,0.970,-3.707,-15.333,-11.518
0.706,0.036,0.963,-3.567,-14.651,-11.081
0.705,0.036,0.956,-3.404,-14.005,-10.648
0.704,0.037,0.949,-3.235,-13.379,-10.232
0.704,0.037,0.941,-3.062,-12.753,-9.836
0.703,0.038,0.935,-2.880,-12.134,-9.455
0.702,0.038,0.929,-2.709,-11.537,-9.098
0.701,0.039,0.923,-2.568,-10.974,-8.772
0.699,0.040,0.918,-2.471,-10.474,-8.487
0.698,0.041,0.913,-2.415,-10.024,-8.241
0.697,0.041,0.909,-2.398,-9.619,-8.016
0.695,0.042,0.904,-2.414,-9.251,-7.817
0.694,0.042,0.900,-2.446,-8.934,-7.629
0.693,0.042,0.895,-2.481,-8.651,-7.454
0.692,0.042,0.891,-2.488,-8.368,-7.292
0.690,0.042,0.886,-2.455,-8.064,-7.123
0.689,0.042,0.882,-2.407,-7.742,-6.949
0.688,0.042,0.878,-2.361,-7.409,-6.775
0.687,0.042,0.875,-2.322,-7.079,-6.613
0.685,0.042,0.872,-2.299,-6.747,-6.462
0.684,0.042,0.869,-2.288,-6.426,-6.314
0.683,0.042,0.867,-2.292,-6.125,-6.160
0.681,0.042,0.864,-2.305,-5.856,-6.018
0.680,0.042,0.862,-2.332,-5.633,-5.882
0.679,0.041,0.860,-2.364,-5.435,-5.749
0.678,0.041,0.857,-2.370,-5.233,-5.605
0.678,0.041,0.854,-2.337,-5.027,-5.451
0.677,0.040,0.852,-2.292,-4.825,-5.296
0.676,0.040,0.850,-2.234,-4.603,-5.145
0.675,0.040,0.848,-2.160,-4.360,-4.990
0.675,0.040,0.846,-2.088,-4.105,-4.835
0.674,0.040,0.844,-2.037,-3.848,-4.675
0.673,0.039,0.843,-2.009,-3.596,-4.519
0.672,0.039,0.842,-2.000,-3.362,-4.369
0.671,0.039,0.841,-2.000,-3.153,-4.217
0.670,0.039,0.840,-2.011,-2.975,-4.061
0.669,0.038,0.839,-2.030,-2.837,-3.907
0.668,0.038,0.838,-2.046,-2.720,-3.751
0.668,0.038,0.836,-2.028,-2.589,-3.594
0.667,0.037,0.835,-1.985,-2.441,-3.430
0.666,0.037,0.833,-1.950,-2.283,-3.267
0.665,0.037,0.832,-1.931,-2.101,-3.106
0.665,0.038,0.831,-1.927,-1.883,-2.954
0.664,0.037,0.830,-1.940,-1.632,-2.804
0.664,0.037,0.829,-1.976,-1.371,-2.653
0.663,0.037,0.828,-2.045,-1.113,-2.506
0.662,0.037,0.828,-2.142,-0.872,-2.364
0.662,0.037,0.827,-2.260,-0.658,-2.225
0.661,0.037,0.827,-2.394,-0.471,-2.084
0.660,0.037,0.826,-2.539,-0.309,-1.942
0.659,0.037,0.825,-2.660,-0.162,-1.798
0.658,0.036,0.825,-2.765,-0.031,-1.641
0.657,0.036,0.823,-2.828,0.096,-1.479
0.657,0.036,0.822,-2.845,0.234,-1.310
0.656,0.035,0.821,-2.806,0.398,-1.138
0.656,0.035,0.820,-2.745,0.585,-0.961
0.656,0.035,0.819,-2.686,0.782,-0.783
0.655,0.035,0.819,-2.659,0.973,-0.612
0.654,0.035,0.818,-2.675,1.155,-0.444
0.654,0.035,0.818,-2.743,1.313,-0.288
0.653,0.035,0.818,-2.866,1.448,-0.140
0.652,0.035,0.818,-3.020,1.564,0.007
0.651,0.034,0.818,-3.191,1.660,0.144
0.650,0.034,0.818,-3.347,1.744,0.281
0.650,0.033,0.817,-3.453,1.832,0.421
0.649,0.033,0.817,-3.489,1.933,0.573
0.648,0.032,0.817,-3.475,2.050,0.727
0.647,0.031,0.816,-3.430,2.185,0.891
0.646,0.031,0.816,-3.340,2.334,1.057
0.646,0.030,0.816,-3.236,2.486,1.232
0.645,0.030,0.816,-3.159,2.633,1.410
0.644,0.030,0.816,-3.138,2.760,1.587
0.643,0.030,0.817,-3.192,2.868,1.755
0.642,0.029,0.818,-3.294,2.955,1.923
0.642,0.029,0.818,-3.409,3.030,2.087

0.513,-0.086,1.344,-3.212,-4.864,-3.284
0.527,-0.090,1.349,-3.052,-10.819,-7.995
0.540,-0.094,1.353,-2.944,-15.445,-11.828
0.553,-0.098,1.355,-2.912,-19.054,-14.994
0.565,-0.100,1.356,-2.977,-21.899,-17.551
0.575,-0.102,1.356,-3.172,-24.014,-19.581
0.584,-0.102,1.354,-3.640,-25.688,-21.097
0.591,-0.101,1.353,-4.370,-27.017,-22.277
0.597,-0.100,1.350,-5.442,-28.019,-23.333
0.601,-0.098,1.347,-6.784,-29.054,-24.189
0.605,-0.098,1.343,-8.106,-29.693,-24.910
0.609,-0.098,1.335,-9.106,-29.910,-25.429
0.611,-0.099,1.327,-9.853,-29.800,-25.807
0.613,-0.100,1.318,-10.348,-29.671,-25.930
0.614,-0.100,1.308,-10.620,-29.455,-25.843
0.614,-0.101,1.297,-10.752,-29.078,-25.703
0.613,-0.100,1.285,-10.817,-28.745,-25.531
0.613,-0.100,1.272,-10.738,-28.356,-25.226
0.613,-0.099,1.260,-10.612,-27.756,-24.833
0.612,-0.098,1.248,-10.459,-27.230,-24.444
0.610,-0.096,1.236,-10.273,-26.800,-24.101
0.609,-0.094,1.224,-10.065,-26.404,-23.780
0.608,-0.092,1.212,-9.838,-26.005,-23.472
0.607,-0.090,1.201,-9.597,-25.566,-23.186
0.606,-0.088,1.190,-9.347,-25.100,-22.903
0.606,-0.087,1.180,-9.091,-24.634,-22.612
0.607,-0.086,1.169,-8.819,-24.158,-22.297
0.608,-0.085,1.160,-8.532,-23.671,-21.959
0.610,-0.084,1.150,-8.244,-23.149,-21.597
0.612,-0.083,1.141,-7.971,-22.606,-21.207
0.614,-0.081,1.132,-7.732,-22.056,-20.788
0.616,-0.079,1.123,-7.517,-21.505,-20.353
0.618,-0.077,1.114,-7.331,-20.962,-19.915
0.620,-0.075,1.105,-7.170,-20.424,-19.470
0.621,-0.074,1.097,-7.034,-19.890,-19.019
0.623,-0.072,1.089,-6.911,-19.351,-18.571
0.624,-0.071,1.080,-6.786,-18.792,-18.128
0.625,-0.071,1.072,-6.644,-18.231,-17.682
0.626,-0.070,1.065,-6.491,-17.677,-17.216
0.627,-0.069,1.057,-6.344,-17.126,-16.744
0.628,-0.067,1.050,-6.217,-16.584,-16.275
