aX,aY,aZ,gX,gY,gZ
0.533,-0.057,1.311,2.987,6.497,3.747
0.548,-0.055,1.329,1.609,-7.871,1.440
0.561,-0.052,1.348,-0.679,-19.204,-0.667
0.575,-0.049,1.366,-3.852,-28.117,-2.605
0.588,-0.048,1.383,-9.364,-34.593,-4.209
0.601,-0.047,1.398,-14.090,-39.068,-5.572
0.614,-0.049,1.412,-18.660,-41.745,-6.683
0.625,-0.053,1.422,-22.512,-42.611,-7.486
0.635,-0.058,1.431,-25.402,-42.677,-7.897
0.643,-0.065,1.438,-27.304,-42.158,-7.811
0.649,-0.071,1.443,-28.108,-41.355,-7.424
0.654,-0.076,1.448,-28.307,-40.315,-6.690
0.656,-0.080,1.451,-28.135,-39.193,-5.562
0.657,-0.082,1.452,-27.765,-38.002,-3.126
0.657,-0.083,1.452,-27.162,-36.769,-1.238
0.655,-0.083,1.451,-26.262,-35.474,0.820
0.653,-0.082,1.446,-25.022,-34.145,2.782
0.649,-0.079,1.439,-24.047,-32.631,4.587
0.645,-0.076,1.431,-23.482,-30.991,6.162
0.641,-0.074,1.422,-23.147,-29.244,7.342
0.636,-0.072,1.411,-22.947,-27.439,8.266
0.631,-0.070,1.399,-22.862,-25.559,8.926
0.626,-0.069,1.386,-22.891,-23.595,9.358
0.620,-0.067,1.373,-22.955,-21.668,9.648
0.614,-0.067,1.358,-22.945,-19.844,9.822
0.608,-0.067,1.344,-22.823,-18.178,9.858
0.601,-0.066,1.330,-22.617,-16.694,9.848
0.595,-0.066,1.315,-22.346,-15.430,9.837
0.589,-0.066,1.301,-21.943,-14.423,9.814
0.584,-0.066,1.286,-21.416,-13.559,9.778
0.579,-0.066,1.271,-20.801,-12.830,9.732
0.575,-0.067,1.255,-20.125,-12.202,9.664
0.572,-0.068,1.239,-19.361,-11.633,9.559
0.569,-0.069,1.224,-18.570,-11.095,9.415
0.566,-0.070,1.209,-17.793,-10.585,9.222
0.564,-0.071,1.195,-17.075,-10.134,8.997
0.562,-0.073,1.181,-16.391,-9.731,8.733
0.560,-0.075,1.167,-15.669,-9.354,8.407
0.558,-0.077,1.154,-14.973,-9.003,8.051
0.557,-0.079,1.142,-14.330,-8.690,7.691
0.555,-0.081,1.131,-13.726,-8.437,7.331
0.554,-0.084,1.119,-13.205,-8.218,6.962
0.552,-0.086,1.109,-12.806,-8.038,6.608
0.551,-0.088,1.098,-12.433,-7.910,6.280
0.550,-0.090,1.089,-12.053,-7.821,5.960
0.550,-0.093,1.080,-11.631,-7.747,5.651
0.549,-0.095,1.071,-11.127,-7.692,5.378
0.548,-0.098,1.063,-10.479,-7.685,5.141
0.547,-0.099,1.055,-9.769,-7.721,4.911
0.547,-0.101,1.047,-9.032,-7.732,4.673
0.546,-0.103,1.040,-8.328,-7.722,4.434
0.546,-0.105,1.034,-7.699,-7.704,4.201
0.545,-0.105,1.029,-7.174,-7.680,3.965
0.544,-0.106,1.023,-6.860,-7.668,3.721
0.544,-0.106,1.019,-6.717,-7.655,3.481
0.543,-0.107,1.014,-6.692,-7.657,3.244
0.543,-0.108,1.010,-6.708,-7.680,3.011
0.542,-0.109,1.006,-6.716,-7.757,2.789
0.541,-0.110,1.002,-6.671,-7.893,2.607
