aX,aY,aZ,gX,gY,gZ
0.694,-1.706,0.520,526.540,131.950,-271.810
0.701,-1.750,0.660,527.921,135.888,-255.586
0.642,-1.663,0.797,400.614,123.012,-242.116
0.607,-1.639,0.839,208.691,104.889,-234.956
0.612,-1.599,0.821,43.789,93.485,-227.358
0.600,-1.573,0.783,-74.185,85.299,-215.317
0.573,-1.555,0.739,-131.820,71.560,-197.689
0.553,-1.532,0.704,-150.170,51.854,-179.696
0.539,-1.507,0.676,-141.951,29.314,-166.379
0.532,-1.493,0.650,-112.906,12.813,-159.264
0.529,-1.489,0.623,-80.174,2.252,-151.744
0.531,-1.493,0.592,-48.426,-9.241,-139.109
0.532,-1.497,0.570,-19.995,-19.170,-121.258
0.533,-1.497,0.558,4.460,-25.030,-101.638
0.533,-1.494,0.554,23.376,-27.393,-83.053
0.528,-1.489,0.554,33.907,-27.762,-67.565
0.517,-1.481,0.556,36.907,-27.216,-54.864
0.499,-1.468,0.553,32.545,-26.020,-44.828
0.480,-1.452,0.548,21.393,-24.198,-37.793
0.462,-1.435,0.541,6.495,-22.057,-34.354
0.445,-1.418,0.532,-9.710,-20.026,-32.508
0.430,-1.401,0.521,-23.999,-18.402,-31.298
0.417,-1.384,0.507,-35.620,-17.238,-30.325
0.408,-1.369,0.493,-43.597,-16.162,-29.495
0.400,-1.354,0.477,-47.343,-14.958,-28.731
0.393,-1.343,0.461,-45.706,-13.579,-28.151
0.387,-1.334,0.446,-41.091,-11.968,-27.483
0.382,-1.326,0.432,-34.806,-10.072,-26.338
0.376,-1.319,0.418,-27.888,-7.941,-24.348
0.368,-1.312,0.406,-20.877,-5.765,-21.190
0.359,-1.305,0.396,-14.544,-3.639,-17.661
0.350,-1.297,0.386,-8.911,-1.523,-14.195
0.341,-1.288,0.378,-4.283,0.535,-11.081
0.331,-1.279,0.370,-0.780,2.458,-8.486
0.322,-1.270,0.362,1.954,4.211,-6.564
0.313,-1.261,0.355,3.721,5.619,-5.114
0.303,-1.250,0.348,4.601,6.732,-3.904
0.294,-1.240,0.341,4.749,7.624,-3.039
0.286,-1.231,0.334,4.301,8.300,-2.518
0.279,-1.222,0.327,3.448,8.848,-2.228
0.272,-1.213,0.319,2.335,9.238,-2.053
0.265,-1.205,0.312,1.127,9.373,-2.051
0.260,-1.198,0.305,-0.193,9.296,-2.202
0.254,-1.191,0.298,-1.851,9.016,-2.456
0.249,-1.184,0.292,-3.702,8.437,-2.802
0.244,-1.177,0.286,-5.574,7.551,-3.264
0.238,-1.171,0.282,-7.687,6.282,-3.713
0.233,-1.165,0.277,-10.191,4.520,-4.234
0.228,-1.159,0.272,-12.871,2.176,-4.911
0.223,-1.152,0.267,-15.938,-0.785,-5.583
0.218,-1.146,0.262,-18.994,-4.019,-6.195
0.214,-1.140,0.257,-21.883,-7.232,-6.681
0.211,-1.135,0.253,-24.130,-10.012,-6.822
0.209,-1.130,0.249,-25.689,-10.713,-6.646
0.208,-1.126,0.244,-26.376,-11.690,-6.145
0.207,-1.123,0.240,-26.032,-11.741,-5.383
0.206,-1.121,0.236,-24.393,-10.981,-4.213
0.206,-1.118,0.232,-22.106,-9.627,-2.884
0.205,-1.114,0.228,-19.551,-7.802,-1.611
0.203,-1.110,0.224,-17.100,-5.966,-0.615
