aX,aY,aZ,gX,gY,gZ
-0.915,-1.070,-0.410,-334.600,133.210,34.090
-0.868,-1.171,-0.527,-331.380,139.020,33.740
-0.831,-1.225,-0.611,-325.990,142.800,38.220
-0.788,-1.239,-0.654,-322.560,141.680,42.980
-0.769,-1.239,-0.703,-313.950,137.410,44.170
-0.759,-1.243,-0.717,-287.210,127.750,45.010
-0.750,-1.212,-0.760,-298.340,113.050,46.970
-0.701,-1.182,-0.828,-291.900,97.650,49.420
-0.654,-1.154,-0.874,-290.010,77.980,52.430
-0.646,-1.102,-0.963,-292.810,49.630,54.320
-0.630,-1.065,-1.054,-296.520,27.300,52.990
-0.564,-1.075,-1.240,-286.090,7.630,48.650
-0.488,-1.092,-1.344,-266.280,-14.700,45.010
-0.432,-1.134,-1.401,-227.710,-38.150,42.630
-0.358,-1.143,-1.378,-196.630,-63.700,41.580
-0.287,-1.116,-1.338,-167.090,-102.480,40.390
-0.215,-1.074,-1.327,-143.010,-137.830,38.360
-0.166,-1.034,-1.316,-123.690,-178.640,33.460
-0.132,-0.942,-1.232,-115.360,-229.600,22.330
-0.072,-0.846,-1.148,-118.020,-279.580,9.100
-0.073,-0.768,-0.987,-126.630,-333.480,-8.400
-0.122,-0.783,-0.689,-133.630,-408.170,-30.520
-0.176,-0.802,-0.533,-136.080,-457.240,-49.210
-0.218,-0.802,-0.405,-140.350,-497.280,-70.070
-0.207,-0.701,-0.345,-145.810,-529.200,-86.870
-0.170,-0.653,-0.303,-148.540,-553.700,-101.920
-0.064,-0.627,-0.213,-153.440,-565.530,-114.730
-0.020,-0.592,-0.225,-158.760,-570.990,-128.520
0.072,-0.450,-0.126,-174.510,-574.490,-123.970
0.291,-0.467,0.077,-202.790,-560.840,-111.440
0.362,-0.468,0.158,-226.520,-552.020,-118.090
0.334,-0.551,0.009,-234.080,-519.120,-133.210
0.411,-0.677,-0.080,-228.690,-485.100,-145.180
0.475,-0.695,-0.244,-211.610,-450.940,-143.780
0.513,-1.081,-0.460,-133.000,-416.990,-156.800
0.527,-1.182,-0.641,-62.090,-386.750,-154.980
0.531,-1.337,-0.698,-8.050,-344.050,-139.650
0.638,-1.375,-0.694,26.670,-337.190,-111.860
0.748,-1.174,-0.667,53.900,-321.580,-87.500
0.765,-0.949,-0.527,68.600,-305.760,-77.770
0.725,-0.772,-0.320,60.480,-281.680,-75.390
0.712,-0.812,0.024,49.000,-255.430,-69.020
0.707,-0.819,0.374,38.430,-235.550,-56.490
0.695,-0.811,0.680,27.580,-220.430,-41.230
0.692,-0.782,0.923,16.940,-202.020,-26.950
0.657,-0.819,1.130,6.510,-170.800,-16.030
0.569,-0.841,1.204,-4.830,-146.300,-6.440
0.470,-0.825,1.207,-18.480,-125.650,3.780
0.409,-0.813,1.146,-32.550,-107.100,11.340
0.377,-0.847,1.050,-45.010,-91.280,16.450
0.355,-0.880,0.942,-49.910,-75.880,19.390
0.320,-0.885,0.846,-52.080,-62.300,21.840
0.273,-0.907,0.762,-51.660,-51.660,22.890
0.233,-0.920,0.691,-47.740,-42.840,22.750
0.180,-0.931,0.630,-42.210,-34.300,22.120
0.138,-0.930,0.607,-38.990,-29.120,22.540
0.102,-0.888,0.590,-40.950,-23.660,23.940
0.072,-0.840,0.601,-46.620,-20.300,24.850
0.027,-0.847,0.596,-49.140,-18.830,20.790
-0.014,-0.910,0.579,-46.760,-17.990,17.430
-0.047,-0.923,0.580,-43.120,-17.080,14.700
-0.079,-0.944,0.567,-40.180,-15.540,11.760
-0.104,-0.954,0.553,-36.470,-15.190,8.260
-0.139,-0.972,0.519,-32.130,-15.050,4.270
-0.158,-0.987,0.490,-26.040,-14.910,0.910
-0.171,-0.999,0.456,-17.500,-15.190,-1.750
-0.179,-1.013,0.414,-3.570,-14.700,-3.640
-0.173,-0.988,0.386,3.220,-12.740,-2.380
