aX,aY,aZ,gX,gY,gZ
-0.467,-0.875,0.518,-32.796,0.312,16.350
-0.468,-0.875,0.525,-32.152,-1.126,16.271
-0.468,-0.875,0.531,-31.744,-2.500,16.212
-0.468,-0.875,0.538,-31.669,-3.805,16.167
-0.468,-0.874,0.544,-31.839,-5.023,16.118
-0.467,-0.874,0.548,-32.187,-6.066,16.052
-0.466,-0.874,0.551,-32.589,-6.984,15.954
-0.465,-0.875,0.553,-32.910,-7.779,15.825
-0.464,-0.876,0.555,-33.124,-8.479,15.649
-0.462,-0.877,0.558,-33.282,-9.101,15.423
-0.460,-0.877,0.563,-33.378,-9.669,15.132
-0.458,-0.878,0.569,-33.437,-10.185,14.767
-0.455,-0.879,0.578,-33.480,-10.659,14.252
-0.452,-0.881,0.589,-33.646,-11.049,13.639
-0.449,-0.882,0.602,-33.825,-11.344,12.884
-0.445,-0.884,0.614,-33.963,-11.387,12.003
-0.440,-0.886,0.625,-33.994,-11.163,11.085
-0.435,-0.887,0.634,-33.926,-10.641,10.201
-0.430,-0.889,0.639,-33.568,-9.771,9.395
-0.425,-0.893,0.642,-32.957,-8.397,8.666
-0.418,-0.898,0.643,-32.117,-6.027,8.013
-0.412,-0.903,0.643,-30.916,-2.949,7.431
-0.405,-0.908,0.642,-29.099,0.759,6.913
-0.397,-0.915,0.642,-26.962,5.384,6.434
-0.390,-0.922,0.643,-24.589,10.882,5.945
-0.383,-0.930,0.647,-22.101,17.508,5.392
-0.377,-0.938,0.656,-19.711,24.422,4.754
-0.369,-0.947,0.663,-17.611,32.403,4.139
-0.360,-0.959,0.670,-15.204,41.458,3.591
-0.351,-0.970,0.676,-12.380,51.771,3.064
-0.341,-0.979,0.679,-8.977,64.831,2.656
-0.330,-0.984,0.678,-5.089,79.586,2.414
-0.320,-0.987,0.674,-0.872,95.784,2.342
-0.311,-0.987,0.664,3.535,113.264,2.509
-0.303,-0.982,0.649,7.331,131.743,2.953
-0.296,-0.975,0.632,10.233,150.375,3.695
-0.292,-0.966,0.613,12.200,168.734,4.640
-0.294,-0.958,0.595,13.336,187.464,5.856
-0.294,-0.947,0.577,13.762,205.099,6.985
-0.296,-0.935,0.560,13.565,221.325,7.798
-0.300,-0.924,0.542,12.456,234.929,8.084
-0.303,-0.915,0.524,10.712,245.410,8.041
-0.305,-0.910,0.506,8.607,253.683,7.806
-0.306,-0.908,0.488,6.551,260.880,7.437
-0.306,-0.907,0.470,4.811,267.885,6.990
-0.304,-0.905,0.452,3.434,275.256,6.478
-0.299,-0.903,0.436,2.507,282.289,5.953
-0.296,-0.899,0.418,2.014,287.601,5.481
-0.291,-0.893,0.400,1.956,291.194,5.192
-0.282,-0.885,0.383,2.275,293.592,5.002
-0.269,-0.878,0.366,2.966,294.579,4.862
-0.259,-0.869,0.344,3.862,291.461,4.704
-0.250,-0.861,0.320,4.879,286.939,4.467
-0.241,-0.853,0.293,5.719,280.316,4.187
-0.234,-0.845,0.263,6.278,272.401,3.776
-0.227,-0.840,0.231,6.582,263.779,3.228
-0.221,-0.837,0.200,6.615,254.865,2.460
-0.215,-0.836,0.171,6.495,246.002,1.646
-0.209,-0.834,0.143,6.245,237.377,0.857
-0.205,-0.833,0.117,6.296,229.157,0.454
-0.203,-0.835,0.091,6.516,221.470,0.216
-0.201,-0.833,0.067,6.788,214.388,-0.063
-0.200,-0.829,0.045,7.252,207.765,-0.333
-0.201,-0.826,0.025,7.883,201.597,-0.512
-0.203,-0.823,0.006,8.656,195.860,-0.707
-0.208,-0.811,-0.012,9.355,190.527,-1.500
-0.215,-0.804,-0.029,9.562,185.159,-2.120
-0.223,-0.806,-0.050,10.157,178.696,-0.831
-0.223,-0.806,-0.065,13.017,173.427,-0.021
-0.232,-0.800,-0.079,15.054,168.637,1.360
-0.241,-0.794,-0.090,16.309,163.315,2.534
-0.248,-0.789,-0.099,17.031,157.936,3.065
-0.255,-0.783,-0.106,17.412,152.495,3.281
-0.264,-0.780,-0.112,17.718,147.125,3.181
-0.272,-0.777,-0.116,17.913,141.843,2.922
-0.282,-0.773,-0.120,17.831,136.516,2.602
-0.292,-0.770,-0.124,17.452,130.711,2.181
-0.302,-0.766,-0.128,16.690,124.639,1.480
-0.313,-0.763,-0.132,15.592,118.719,0.486
-0.323,-0.763,-0.135,14.456,113.402,-0.519
-0.331,-0.765,-0.138,13.632,108.741,-1.359
-0.339,-0.768,-0.140,13.146,104.883,-2.032
-0.347,-0.770,-0.142,12.799,101.306,-2.494
-0.355,-0.771,-0.143,11.800,97.670,-2.728
-0.363,-0.772,-0.144,11.507,93.973,-2.715
-0.370,-0.773,-0.144,11.307,90.445,-2.549
-0.376,-0.775,-0.144,11.228,87.270,-2.256
-0.382,-0.777,-0.144,11.243,84.334,-1.884
-0.387,-0.778,-0.144,11.275,81.548,-1.510
-0.393,-0.779,-0.144,11.237,78.880,-1.181
-0.398,-0.779,-0.145,11.124,75.006,-1.009
-0.404,-0.778,-0.146,10.859,72.204,-0.996
