aX,aY,aZ,gX,gY,gZ
0.211,-1.229,-0.495,-44.590,-40.320,79.870
0.220,-1.232,-0.502,-44.508,-40.864,80.243
0.228,-1.232,-0.511,-44.500,-42.411,80.896
0.234,-1.230,-0.521,-44.752,-44.691,81.681
0.239,-1.223,-0.533,-45.597,-47.756,82.457
0.243,-1.219,-0.545,-46.871,-51.670,83.041
0.247,-1.214,-0.557,-48.727,-56.584,83.481
0.249,-1.209,-0.567,-51.159,-62.332,83.793
0.248,-1.204,-0.577,-53.853,-68.764,83.935
0.246,-1.200,-0.586,-56.610,-75.702,84.076
0.243,-1.195,-0.593,-58.922,-83.317,84.240
0.239,-1.190,-0.599,-60.680,-91.868,84.488
0.234,-1.185,-0.603,-62.043,-100.650,84.881
0.228,-1.178,-0.608,-62.817,-109.488,85.452
0.220,-1.171,-0.611,-63.066,-118.377,86.091
0.211,-1.163,-0.613,-62.911,-127.242,86.716
0.201,-1.154,-0.615,-62.523,-135.586,87.378
0.190,-1.144,-0.615,-61.857,-143.356,88.139
0.179,-1.133,-0.614,-60.607,-150.705,88.897
0.167,-1.122,-0.611,-58.931,-157.479,89.646
0.155,-1.109,-0.609,-56.818,-163.150,90.510
0.143,-1.096,-0.608,-54.084,-167.849,91.500
0.131,-1.085,-0.606,-50.777,-171.513,92.571
0.118,-1.073,-0.604,-47.367,-174.328,93.835
0.105,-1.061,-0.599,-43.954,-177.467,95.549
0.097,-1.047,-0.590,-41.058,-180.088,97.243
0.076,-1.033,-0.574,-38.536,-183.700,98.869
0.052,-1.016,-0.555,-36.625,-188.951,100.406
0.030,-0.999,-0.531,-35.397,-195.644,101.885
0.011,-0.977,-0.498,-35.081,-203.403,103.815
-0.013,-0.950,-0.457,-35.511,-211.613,106.185
-0.040,-0.921,-0.412,-37.483,-219.867,108.212
-0.067,-0.889,-0.364,-40.316,-227.324,109.969
-0.095,-0.855,-0.314,-43.796,-233.715,111.233
-0.122,-0.823,-0.264,-47.363,-238.205,111.122
-0.146,-0.790,-0.214,-50.422,-240.607,110.224
-0.161,-0.755,-0.172,-53.319,-239.125,107.770
-0.175,-0.722,-0.137,-55.877,-234.561,101.721
-0.182,-0.698,-0.101,-58.086,-228.928,93.892
-0.187,-0.684,-0.073,-59.135,-219.095,83.989
-0.193,-0.679,-0.049,-58.798,-201.618,72.878
-0.203,-0.680,-0.027,-56.286,-178.832,61.935
-0.215,-0.688,-0.007,-51.679,-154.536,52.640
-0.229,-0.702,0.008,-45.372,-132.868,45.375
-0.245,-0.717,0.015,-37.987,-114.230,40.570
-0.261,-0.731,0.016,-30.585,-98.217,38.068
-0.278,-0.741,0.013,-24.239,-85.108,36.827
-0.298,-0.746,0.006,-19.552,-75.270,36.284
-0.317,-0.748,-0.002,-17.193,-67.547,35.544
-0.335,-0.742,-0.012,-16.538,-60.879,34.730
-0.357,-0.736,-0.024,-16.838,-55.791,33.169
-0.376,-0.732,-0.035,-17.323,-51.573,30.461
-0.398,-0.726,-0.044,-17.835,-48.419,27.344
-0.419,-0.722,-0.049,-18.106,-45.972,24.078
-0.434,-0.720,-0.051,-17.787,-43.376,21.029
-0.447,-0.717,-0.050,-16.274,-40.140,18.589
-0.458,-0.714,-0.047,-13.772,-36.095,16.741
-0.467,-0.710,-0.044,-10.411,-31.027,15.278
-0.477,-0.705,-0.042,-6.720,-25.741,14.153
-0.486,-0.699,-0.040,-3.148,-20.912,13.354
-0.495,-0.694,-0.039,-0.127,-16.912,12.761
-0.506,-0.687,-0.041,2.129,-14.702,12.464
-0.519,-0.681,-0.043,3.330,-13.929,12.284
-0.530,-0.677,-0.046,4.035,-14.063,12.148
-0.539,-0.673,-0.048,4.347,-14.568,12.143
-0.547,-0.670,-0.051,4.473,-15.211,12.252
-0.554,-0.668,-0.052,4.583,-15.785,12.393
-0.561,-0.667,-0.053,4.705,-16.176,12.515
-0.568,-0.664,-0.053,4.879,-16.289,12.607
-0.574,-0.662,-0.054,5.149,-15.993,12.654
-0.580,-0.659,-0.055,5.491,-15.453,12.671
-0.587,-0.656,-0.057,5.825,-14.756,12.632
-0.594,-0.653,-0.059,6.095,-14.027,12.547
-0.601,-0.648,-0.061,6.213,-13.318,12.370
-0.608,-0.644,-0.063,6.177,-12.667,12.076
-0.615,-0.639,-0.065,5.977,-12.057,11.567
-0.622,-0.635,-0.067,5.604,-11.452,10.876
