aX,aY,aZ,gX,gY,gZ
0.810,-0.215,0.887,-22.506,-11.595,59.186
0.812,-0.218,0.889,-22.233,-7.290,58.501
0.811,-0.221,0.892,-21.973,-3.135,57.864
0.810,-0.222,0.895,-21.762,0.927,57.294
0.810,-0.223,0.902,-21.630,4.831,56.810
0.808,-0.224,0.905,-21.579,8.466,56.405
0.807,-0.225,0.907,-21.516,11.891,56.021
0.805,-0.226,0.909,-21.457,15.256,55.685
0.804,-0.226,0.911,-21.377,18.646,55.402
0.802,-0.227,0.912,-21.134,23.024,54.763
0.801,-0.228,0.916,-20.921,26.933,54.144
0.799,-0.230,0.920,-20.748,30.799,53.687
0.796,-0.233,0.924,-20.673,34.396,53.326
0.794,-0.237,0.929,-20.724,37.876,52.924
0.793,-0.240,0.933,-20.893,41.299,52.649
0.792,-0.245,0.937,-20.996,44.729,52.555
0.791,-0.251,0.939,-20.909,48.251,52.575
0.789,-0.257,0.942,-20.671,51.904,52.675
0.787,-0.263,0.945,-20.281,55.713,52.890
0.783,-0.269,0.948,-19.709,59.541,53.244
0.779,-0.276,0.950,-19.056,63.331,53.777
0.775,-0.281,0.954,-18.373,67.021,54.541
0.769,-0.285,0.956,-17.688,70.710,55.452
0.762,-0.289,0.957,-17.029,74.358,56.372
0.754,-0.292,0.958,-16.397,77.865,57.183
0.747,-0.295,0.959,-15.802,81.334,57.736
0.739,-0.299,0.959,-15.242,85.009,58.239
0.731,-0.304,0.960,-14.695,88.808,58.771
0.722,-0.309,0.961,-14.112,92.638,59.323
0.712,-0.315,0.963,-13.469,96.240,59.832
0.700,-0.320,0.965,-12.863,99.543,60.414
0.688,-0.323,0.966,-12.260,102.509,61.011
0.670,-0.326,0.967,-11.702,105.047,61.647
0.656,-0.328,0.967,-11.229,107.256,62.243
0.642,-0.330,0.966,-10.836,109.276,62.839
0.627,-0.331,0.964,-10.489,111.120,63.428
0.613,-0.334,0.962,-10.123,112.731,63.922
0.599,-0.338,0.960,-9.706,114.393,64.360
0.585,-0.342,0.958,-9.221,116.229,64.770
0.570,-0.345,0.957,-8.687,118.078,65.189
0.556,-0.348,0.955,-8.172,119.908,65.598
0.541,-0.350,0.952,-7.618,121.782,66.016
0.525,-0.351,0.948,-6.947,123.592,66.397
0.508,-0.351,0.944,-6.277,125.148,66.794
0.490,-0.350,0.939,-5.634,126.271,67.129
0.471,-0.349,0.934,-5.026,127.031,67.355
0.452,-0.348,0.929,-4.487,127.414,67.476
0.434,-0.347,0.923,-4.029,127.489,67.492
0.416,-0.345,0.916,-3.632,127.375,67.397
0.398,-0.344,0.909,-3.248,127.089,67.170
0.380,-0.342,0.900,-2.874,126.689,66.821
0.362,-0.339,0.893,-2.424,126.146,66.344
0.345,-0.338,0.885,-1.993,125.495,65.803
0.327,-0.335,0.878,-1.544,124.772,65.187
0.310,-0.332,0.869,-1.085,124.041,64.555
0.293,-0.329,0.861,-0.571,123.245,63.870
0.275,-0.326,0.854,-0.112,122.335,63.153
0.257,-0.323,0.846,0.310,121.301,62.409
0.239,-0.320,0.838,0.752,120.144,61.608
0.221,-0.316,0.831,1.217,118.828,60.783
0.203,-0.313,0.824,1.615,117.295,59.910
0.185,-0.310,0.817,1.980,115.606,58.993
0.168,-0.309,0.810,2.371,113.836,58.008
0.151,-0.308,0.804,2.765,112.009,56.990
0.135,-0.307,0.798,3.089,110.098,55.953
0.119,-0.306,0.793,3.390,108.192,54.917
0.103,-0.305,0.789,3.636,106.315,53.898
0.088,-0.304,0.786,3.794,104.498,52.937
0.072,-0.303,0.782,3.924,102.747,52.004
0.057,-0.303,0.779,4.041,101.017,51.102
0.042,-0.302,0.776,4.176,99.337,50.248
0.027,-0.302,0.772,4.343,97.721,49.437
0.012,-0.300,0.767,4.529,96.171,48.691
-0.003,-0.298,0.762,4.737,94.664,47.976
-0.019,-0.295,0.756,4.949,93.179,47.274
-0.034,-0.292,0.751,5.218,91.695,46.571
-0.050,-0.289,0.747,5.537,90.201,45.844
-0.066,-0.286,0.744,5.809,88.724,45.118
-0.081,-0.283,0.742,6.004,87.223,44.413
-0.096,-0.279,0.741,6.093,85.728,43.689
-0.110,-0.275,0.738,6.097,84.271,42.972
-0.125,-0.271,0.736,6.067,82.860,42.247
-0.139,-0.267,0.734,5.985,81.521,41.558
-0.153,-0.263,0.732,5.890,80.272,40.890
-0.166,-0.259,0.730,5.778,79.094,40.242
-0.180,-0.256,0.729,5.706,77.958,39.602
-0.194,-0.254,0.729,5.698,76.852,38.973
-0.208,-0.251,0.728,5.726,75.735,38.343
-0.222,-0.249,0.728,5.770,74.591,37.705
-0.235,-0.246,0.728,5.827,73.371,37.047
-0.249,-0.243,0.729,5.863,72.095,36.358
-0.262,-0.240,0.728,5.858,70.775,35.631
-0.275,-0.237,0.728,5.811,69.434,34.768
-0.287,-0.234,0.727,5.735,68.088,33.834
-0.299,-0.231,0.726,5.619,66.750,32.843
-0.310,-0.228,0.724,5.430,65.443,31.866
-0.321,-0.225,0.722,5.211,64.182,30.903
-0.331,-0.222,0.721,5.011,62.960,29.957
-0.341,-0.220,0.720,4.838,61.767,29.065
-0.351,-0.218,0.719,4.769,60.610,28.246
-0.360,-0.216,0.718,4.774,59.483,27.478
-0.370,-0.215,0.718,4.841,58.375,26.739
-0.379,-0.213,0.718,4.932,57.250,26.026
-0.388,-0.212,0.718,5.035,56.032,25.317
-0.398,-0.212,0.718,5.141,54.694,24.596
-0.407,-0.211,0.717,5.252,53.294,23.834
-0.415,-0.210,0.716,5.342,51.867,23.055
-0.423,-0.209,0.715,5.356,50.401,22.291
-0.430,-0.207,0.714,5.284,48.922,21.557
-0.437,-0.205,0.712,5.156,47.505,20.859
-0.444,-0.204,0.711,5.000,46.168,20.199
-0.450,-0.202,0.710,4.886,44.918,19.622
-0.456,-0.201,0.710,4.825,43.734,19.114
-0.462,-0.201,0.710,4.801,42.587,18.649
-0.468,-0.201,0.711,4.829,41.457,18.202
-0.474,-0.201,0.712,4.905,40.327,17.795
-0.480,-0.201,0.713,5.001,39.220,17.429
-0.486,-0.201,0.714,5.078,38.144,17.081
-0.491,-0.201,0.715,5.094,37.087,16.731

0.616,-0.119,1.220,5.830,35.482,9.138
0.610,-0.147,1.226,-1.086,35.636,5.659
0.599,-0.161,1.226,-24.379,38.327,5.499
0.589,-0.165,1.218,-52.021,44.543,6.415
0.582,-0.165,1.208,-73.348,52.731,8.467
0.571,-0.163,1.197,-84.078,60.332,11.502
0.553,-0.156,1.184,-85.870,64.703,15.635
0.532,-0.144,1.167,-83.640,66.356,20.262
0.509,-0.131,1.148,-76.833,66.083,25.058
0.484,-0.116,1.131,-60.497,64.831,29.564
0.458,-0.107,1.116,-37.850,61.794,33.113
0.431,-0.100,1.102,-13.387,56.440,35.630
0.406,-0.093,1.092,7.751,48.933,37.072
0.384,-0.088,1.085,22.733,39.885,37.523
0.363,-0.081,1.079,30.918,31.204,37.188
0.344,-0.071,1.073,33.830,24.112,36.349
0.328,-0.060,1.069,33.889,19.251,34.810
0.313,-0.049,1.065,31.855,16.522,32.505
0.300,-0.039,1.062,27.642,15.367,29.835
0.287,-0.030,1.062,21.506,15.057,26.982
0.273,-0.026,1.063,14.491,15.091,24.126
0.257,-0.024,1.065,7.906,15.227,21.439
0.242,-0.024,1.065,2.558,15.276,19.101
0.226,-0.024,1.064,-1.407,15.171,17.199
0.211,-0.023,1.063,-3.673,14.853,15.929
0.197,-0.022,1.061,-4.852,14.287,15.140
0.183,-0.022,1.057,-5.175,13.435,14.768
0.170,-0.022,1.054,-4.932,12.495,14.686
0.157,-0.021,1.051,-4.247,11.540,14.850
0.144,-0.020,1.049,-3.181,10.597,15.260
0.132,-0.019,1.047,-1.736,9.714,15.739
0.119,-0.018,1.045,-0.030,8.995,16.232
0.107,-0.016,1.044,1.713,8.441,16.685
0.096,-0.013,1.044,3.264,8.077,17.071
0.084,-0.009,1.045,4.518,7.796,17.349
0.073,-0.006,1.045,5.391,7.541,17.500
0.061,-0.002,1.046,5.873,7.279,17.467
0.051,0.002,1.046,5.966,7.015,17.324
0.041,0.006,1.047,5.870,6.756,17.077
0.031,0.010,1.047,5.651,6.506,16.730
0.021,0.013,1.047,5.409,6.247,16.324
0.012,0.016,1.046,5.236,5.957,15.907
0.003,0.019,1.045,5.146,5.682,15.495
