aX,aY,aZ,gX,gY,gZ
-0.414,-0.929,-0.567,-13.320,12.273,10.192
-0.409,-0.929,-0.574,-16.129,10.271,11.299
-0.406,-0.926,-0.581,-19.700,7.386,12.366
-0.403,-0.922,-0.587,-23.811,3.324,13.319
-0.400,-0.917,-0.590,-28.282,-2.679,14.192
-0.395,-0.914,-0.593,-32.967,-9.854,14.949
-0.389,-0.914,-0.598,-36.911,-17.817,15.607
-0.379,-0.920,-0.605,-39.634,-26.046,16.354
-0.369,-0.927,-0.615,-40.949,-35.079,17.415
-0.358,-0.932,-0.625,-41.142,-45.024,19.000
-0.347,-0.934,-0.635,-40.616,-55.813,20.817
-0.336,-0.934,-0.645,-39.962,-69.742,22.752
-0.327,-0.931,-0.652,-39.182,-86.457,24.551
-0.320,-0.927,-0.657,-38.390,-105.557,26.151
-0.318,-0.923,-0.656,-37.790,-127.181,27.546
-0.313,-0.917,-0.651,-37.550,-148.966,28.628
-0.309,-0.909,-0.642,-37.664,-170.563,29.452
-0.306,-0.902,-0.629,-37.908,-191.530,30.029
-0.305,-0.895,-0.613,-38.051,-210.367,30.419
-0.306,-0.888,-0.596,-38.016,-226.160,30.755
-0.308,-0.881,-0.578,-37.813,-239.025,31.063
-0.312,-0.875,-0.555,-37.577,-249.699,31.253
-0.318,-0.868,-0.529,-37.462,-258.831,31.261
-0.327,-0.861,-0.499,-37.500,-267.226,31.154
-0.338,-0.855,-0.464,-37.568,-274.284,31.038
-0.349,-0.850,-0.425,-37.475,-279.290,31.013
-0.361,-0.848,-0.386,-37.120,-280.995,31.119
-0.371,-0.846,-0.348,-36.368,-279.464,30.945
-0.375,-0.837,-0.308,-35.435,-273.636,30.631
-0.384,-0.819,-0.269,-34.622,-265.900,30.222
-0.399,-0.791,-0.227,-34.486,-257.948,29.594
-0.416,-0.761,-0.182,-35.176,-250.582,28.788
-0.439,-0.732,-0.135,-36.847,-244.229,27.743
-0.461,-0.708,-0.084,-38.678,-239.182,26.697
-0.480,-0.695,-0.024,-39.607,-235.244,25.932
-0.486,-0.686,0.022,-39.032,-228.748,25.712
-0.499,-0.681,0.072,-37.083,-221.825,25.818
