aX,aY,aZ,gX,gY,gZ
0.864,-1.259,0.091,-39.659,-22.742,-102.695
0.891,-1.340,0.113,-63.053,-46.341,-156.597
0.936,-1.482,0.160,-75.885,-54.010,-166.151
0.952,-1.627,0.160,-76.594,-43.323,-155.590
0.903,-1.711,0.154,-71.655,-30.620,-105.277
0.851,-1.736,0.167,-60.991,-24.612,-66.711
0.800,-1.726,0.204,-54.048,-22.377,-47.107
0.756,-1.694,0.224,-51.118,-20.828,-38.357
0.718,-1.657,0.250,-50.551,-19.931,-32.709
0.685,-1.632,0.269,-48.981,-20.095,-25.823
0.658,-1.607,0.287,-46.048,-19.879,-19.687
0.638,-1.567,0.304,-44.290,-16.930,-15.780
0.620,-1.526,0.311,-42.905,-14.583,-13.158
0.600,-1.490,0.317,-41.795,-12.362,-11.487
0.586,-1.457,0.319,-40.680,-10.882,-9.483
0.572,-1.429,0.318,-39.332,-10.053,-7.433
0.561,-1.405,0.316,-37.454,-9.454,-5.981
0.554,-1.382,0.311,-35.506,-8.922,-4.957
0.548,-1.363,0.305,-33.258,-8.460,-4.497
0.543,-1.346,0.297,-30.756,-8.243,-4.377
0.538,-1.330,0.290,-28.416,-8.286,-4.354
0.532,-1.315,0.284,-26.378,-8.683,-4.414
0.526,-1.301,0.279,-24.592,-9.330,-4.569
0.520,-1.289,0.274,-23.007,-10.035,-4.792
0.514,-1.275,0.269,-21.539,-10.648,-5.104
0.508,-1.262,0.265,-20.278,-11.084,-5.320
0.500,-1.250,0.260,-19.128,-11.360,-5.637
0.493,-1.238,0.256,-18.100,-11.339,-6.225
0.486,-1.226,0.252,-17.412,-11.000,-6.427
0.479,-1.217,0.250,-16.965,-10.661,-6.122
0.469,-1.208,0.245,-16.419,-10.713,-5.995
0.458,-1.198,0.242,-16.120,-10.646,-6.119
0.451,-1.188,0.239,-16.074,-10.235,-6.324
0.444,-1.185,0.237,-15.971,-9.582,-6.498
0.437,-1.182,0.235,-15.644,-8.855,-6.533
0.429,-1.179,0.233,-15.023,-8.269,-6.383
0.421,-1.175,0.232,-14.179,-7.863,-6.085
0.412,-1.171,0.231,-13.256,-7.575,-5.789
0.404,-1.166,0.230,-12.417,-7.377,-5.611
0.395,-1.160,0.231,-11.756,-7.257,-5.554
0.386,-1.153,0.232,-11.323,-7.193,-5.744
0.376,-1.146,0.233,-11.147,-7.083,-5.924
0.367,-1.140,0.235,-11.046,-7.112,-6.076
0.358,-1.134,0.237,-10.924,-7.241,-6.260
0.349,-1.129,0.240,-10.799,-7.405,-6.429
0.341,-1.124,0.243,-10.706,-7.440,-6.600
0.333,-1.119,0.245,-10.571,-7.370,-6.784
0.326,-1.115,0.248,-10.310,-7.274,-6.951
0.320,-1.111,0.250,-9.993,-7.179,-7.064
0.313,-1.108,0.252,-9.657,-7.082,-7.112
0.308,-1.104,0.254,-9.355,-6.973,-7.042
0.302,-1.101,0.255,-9.096,-6.866,-6.906
0.297,-1.098,0.258,-8.898,-6.751,-6.754
0.293,-1.095,0.260,-8.738,-6.616,-6.591
0.288,-1.093,0.262,-8.572,-6.458,-6.420
0.284,-1.091,0.264,-8.408,-6.277,-6.216
0.281,-1.089,0.267,-8.230,-6.056,-5.984
0.277,-1.087,0.270,-8.006,-5.818,-5.722
0.274,-1.084,0.273,-7.789,-5.565,-5.412
0.270,-1.081,0.276,-7.624,-5.270,-5.070
0.267,-1.079,0.277,-7.502,-4.939,-4.739
0.265,-1.077,0.278,-7.398,-4.568,-4.421
0.262,-1.074,0.279,-7.342,-4.198,-4.096
0.260,-1.072,0.279,-7.337,-3.845,-3.754
0.257,-1.069,0.280,-7.317,-3.508,-3.401
0.255,-1.067,0.280,-7.260,-3.189,-3.065
0.253,-1.065,0.280,-7.148,-2.871,-2.739
0.251,-1.062,0.281,-6.972,-2.551,-2.414
