aX,aY,aZ,gX,gY,gZ
-0.519,-0.621,0.765,-84.211,1.816,-0.858
-0.519,-0.624,0.766,-82.229,1.420,-1.813
-0.519,-0.627,0.768,-80.251,1.079,-2.754
-0.519,-0.630,0.771,-78.195,0.758,-3.700
-0.519,-0.633,0.774,-75.997,0.471,-4.683
-0.518,-0.636,0.778,-73.641,0.233,-5.708
-0.517,-0.639,0.783,-71.195,0.065,-6.759
-0.516,-0.642,0.789,-68.994,0.023,-7.762
-0.515,-0.644,0.795,-67.399,0.366,-8.710
-0.514,-0.644,0.799,-65.973,1.344,-9.640
-0.511,-0.642,0.799,-64.841,3.006,-10.576
-0.509,-0.641,0.796,-63.850,5.157,-11.586
-0.506,-0.641,0.792,-62.920,7.357,-12.668
-0.504,-0.642,0.788,-61.977,9.155,-13.783
-0.502,-0.645,0.783,-60.933,10.503,-14.919
-0.498,-0.650,0.779,-59.789,11.441,-15.993
-0.495,-0.655,0.779,-58.597,11.889,-17.020
-0.490,-0.661,0.780,-57.428,12.195,-17.943
-0.485,-0.668,0.782,-56.350,12.659,-18.696
-0.479,-0.673,0.787,-55.406,13.595,-19.335
-0.472,-0.679,0.791,-54.568,15.702,-19.916
-0.464,-0.684,0.794,-53.755,19.002,-20.470
-0.456,-0.690,0.797,-52.877,23.553,-20.970
-0.449,-0.696,0.798,-51.869,29.326,-21.400
-0.442,-0.702,0.797,-50.770,36.218,-21.709
-0.435,-0.709,0.793,-49.402,44.282,-21.849
-0.428,-0.716,0.788,-47.510,52.735,-21.820
-0.422,-0.722,0.782,-44.763,61.371,-21.618
-0.417,-0.727,0.776,-41.608,70.715,-21.363
-0.413,-0.730,0.770,-38.480,80.912,-21.030
-0.409,-0.732,0.763,-35.771,91.942,-20.618
-0.405,-0.732,0.756,-33.843,103.699,-20.182
-0.402,-0.732,0.747,-32.460,115.886,-19.732
-0.400,-0.733,0.735,-31.389,128.439,-19.287
-0.397,-0.736,0.721,-30.486,140.155,-18.852
-0.396,-0.740,0.706,-29.701,150.502,-18.382
-0.396,-0.746,0.689,-28.932,159.068,-17.827
-0.397,-0.753,0.670,-28.074,165.351,-17.134
-0.398,-0.761,0.649,-26.917,170.041,-16.264
-0.399,-0.770,0.628,-25.021,173.731,-15.205
-0.399,-0.777,0.607,-22.239,176.894,-13.988
-0.400,-0.781,0.586,-18.396,179.908,-12.625
-0.401,-0.782,0.565,-13.504,183.114,-11.247
-0.402,-0.780,0.545,-7.855,187.214,-9.984
-0.402,-0.774,0.527,-2.405,193.155,-8.898
-0.403,-0.767,0.508,2.228,198.417,-7.860
-0.408,-0.758,0.489,5.797,201.276,-6.969
-0.413,-0.750,0.469,8.213,202.478,-6.264
-0.417,-0.741,0.450,9.638,201.965,-5.714
-0.422,-0.735,0.430,10.136,200.152,-5.353
-0.427,-0.731,0.409,10.336,197.399,-5.099
-0.432,-0.730,0.386,10.477,193.820,-4.921
-0.436,-0.730,0.362,10.651,189.920,-4.775
-0.441,-0.730,0.337,11.611,185.791,-4.624
-0.446,-0.730,0.311,11.887,181.501,-4.424
-0.451,-0.730,0.286,12.161,177.057,-4.203
-0.455,-0.728,0.260,12.467,172.463,-4.035
-0.460,-0.726,0.236,12.840,167.816,-3.924
-0.464,-0.723,0.212,13.286,163.143,-3.872
-0.469,-0.720,0.189,13.782,158.439,-3.883
-0.474,-0.717,0.168,14.175,153.680,-3.912
-0.479,-0.713,0.149,14.446,148.869,-3.927
-0.484,-0.711,0.130,14.624,144.125,-3.945
-0.490,-0.708,0.110,14.768,139.509,-3.948
-0.496,-0.707,0.092,14.926,135.008,-3.929
-0.501,-0.705,0.073,15.188,130.656,-3.846
-0.506,-0.704,0.054,15.710,126.514,-3.939
-0.512,-0.702,0.038,16.214,122.525,-4.009
-0.518,-0.700,0.022,16.785,118.545,-3.935
-0.524,-0.699,0.008,17.653,114.750,-3.784
-0.529,-0.699,-0.005,18.649,111.093,-3.480
-0.535,-0.698,-0.015,19.812,107.655,-3.284
-0.539,-0.695,-0.024,20.869,104.423,-3.158
-0.544,-0.693,-0.032,21.373,101.288,-3.032
-0.550,-0.690,-0.041,21.306,98.152,-2.901
-0.556,-0.687,-0.051,21.191,95.138,-2.909
-0.561,-0.686,-0.062,20.659,92.011,-2.667
-0.567,-0.687,-0.071,20.149,88.964,-2.461
-0.572,-0.687,-0.080,19.651,86.057,-2.176
-0.576,-0.688,-0.088,19.152,83.277,-1.842
-0.581,-0.689,-0.095,18.700,80.589,-1.509
-0.587,-0.689,-0.100,18.287,77.944,-1.173
-0.592,-0.690,-0.105,17.895,75.351,-0.839
-0.597,-0.690,-0.108,17.530,72.842,-0.444
-0.601,-0.690,-0.111,17.243,70.445,-0.056
-0.605,-0.689,-0.113,17.004,68.207,0.308
-0.609,-0.689,-0.115,16.725,66.038,0.638
-0.613,-0.687,-0.113,16.438,63.953,1.248
-0.619,-0.687,-0.118,16.277,61.784,1.884
-0.625,-0.687,-0.120,16.145,59.732,2.431
-0.629,-0.687,-0.122,15.909,57.847,2.962
-0.634,-0.688,-0.124,15.640,55.943,3.413
